List File,CONT16.lst
Start Time,2016-08-12  14:45:31
Sampling Time,1 min 17 sec

Count,4  of  4
Particles / ml,126

Efficiency,16.3%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),79.63,21.45,241.48,107.95,135.56
Aspect Ratio,0.71,0.39,0.92,0.24,33.57
Circle Fit,0.69,0.48,0.85,0.19,27.77
Circularity (Hu),0.82,0.56,0.98,0.20,24.62
Compactness,1.95,1.26,2.82,0.75,38.19
Diameter (ABD),8.66,5.23,17.53,5.93,68.41
Diameter (ESD),10.45,7.01,18.86,5.62,53.79
Elongation,3.67,1.00,6.71,2.69,73.18
Geodesic Aspect Ratio,0.47,0.15,1.00,0.39,83.66
Geodesic Length,16.56,7.63,24.28,6.98,42.12
Geodesic Thickness,6.61,2.81,12.97,4.79,72.43
Image Height,33.75,27.00,46.00,8.54,25.30
Image Width,32.25,22.00,52.00,13.57,42.09
Intensity,150.02,96.29,181.99,37.28,24.85
Length,12.09,7.90,20.88,5.94,49.17
Perimeter,46.34,30.51,74.49,19.49,42.07
Roughness,1.20,1.10,1.40,0.13,11.13
Sigma Intensity,39.17,26.36,52.47,12.20,31.15
Sum Intensity,59313.25,18488.00,1.62e+005,68825.01,116.04
Transparency,0.20,0.07,0.35,0.13,63.85
Volume (ABD),779.64,74.74,2822.91,1362.31,174.74
Width,7.98,3.50,17.34,6.31,79.17

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,50.00,10.35,63,0.01
8-9um,1,25.00,6.49,31,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,75.00,16.83,94,0.02
10-15um,0,0.00,0.00,0.00,0.00
15-20um,1,25.00,83.17,31,0.11
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

