List File,25CONTROL.lst
Start Time,2016-08-12  16:08:54
Sampling Time,1 min 34 sec

Count,58  of  60
Particles / ml,1512

Efficiency,16.3%
PPUI,1.76

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),81.94,19.60,363.37,81.93,99.98
Aspect Ratio,0.66,0.26,0.97,0.20,30.60
Circle Fit,0.59,0.07,0.88,0.22,36.99
Circularity (Hu),0.76,0.20,0.99,0.23,30.76
Compactness,2.64,1.15,10.58,1.91,72.46
Diameter (ABD),9.29,5.00,21.51,4.28,46.05
Diameter (ESD),12.43,6.70,25.86,5.49,44.17
Elongation,5.94,1.00,31.20,6.18,104.15
Geodesic Aspect Ratio,0.37,0.03,1.00,0.31,82.14
Geodesic Length,23.81,8.41,82.51,17.40,73.09
Geodesic Thickness,5.95,1.53,22.04,3.63,61.04
Image Height,37.60,20.00,70.00,12.03,31.98
Image Width,35.60,23.00,65.00,10.05,28.23
Intensity,164.83,104.47,213.63,24.21,14.69
Length,14.98,7.51,30.79,6.54,43.65
Perimeter,59.52,30.19,175.07,33.99,57.11
Roughness,1.40,1.06,2.36,0.33,23.53
Sigma Intensity,24.38,2.47,50.80,14.75,60.50
Sum Intensity,66517.33,21998.00,2.75e+005,56089.96,84.32
Transparency,0.24,0.07,0.61,0.13,53.97
Volume (ABD),732.89,65.29,5210.66,1138.39,155.33
Width,9.07,3.04,24.39,4.98,54.93

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,3,5.17,0.51,78,0.01
7-8um,11,18.97,2.60,287,0.07
8-9um,7,12.07,2.32,182,0.06
0-5um,0,0.00,0.00,0.00,0.00
5-10um,26,44.83,7.67,678,0.19
10-15um,17,29.31,15.75,443,0.40
15-20um,8,13.79,23.30,209,0.59
20-25um,4,6.90,26.10,104,0.66
25-30um,3,5.17,27.18,78,0.69
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,5,8.62,2.25,130,0.06
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

