List File,TT164r3.lst
Start Time,2016-08-12  13:49:27
Sampling Time,2 min 38 sec

Count,146  of  148
Particles / ml,2259

Efficiency,16.3%
PPUI,1.06

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),91.79,19.60,236.41,58.55,63.79
Aspect Ratio,0.73,0.38,0.98,0.14,18.69
Circle Fit,0.63,0.22,0.91,0.15,23.34
Circularity (Hu),0.83,0.35,0.99,0.15,18.05
Compactness,2.49,1.09,8.12,1.39,55.79
Diameter (ABD),10.19,5.00,17.35,3.62,35.52
Diameter (ESD),12.55,5.59,19.73,3.50,27.86
Elongation,5.52,1.00,23.48,4.52,81.80
Geodesic Aspect Ratio,0.33,0.04,1.00,0.26,78.08
Geodesic Length,23.47,6.57,64.48,9.23,39.35
Geodesic Thickness,6.29,1.56,13.09,3.37,53.46
Image Height,37.33,24.00,56.00,6.89,18.45
Image Width,36.58,24.00,58.00,7.27,19.87
Intensity,143.45,76.63,188.55,27.49,19.17
Length,14.66,6.03,24.13,3.96,26.99
Perimeter,59.53,26.28,134.46,17.51,29.42
Roughness,1.38,1.05,2.54,0.28,20.39
Sigma Intensity,34.12,9.43,56.16,9.84,28.84
Sum Intensity,60369.68,22880.00,1.54e+005,29759.60,49.30
Transparency,0.20,0.05,0.48,0.11,55.13
Volume (ABD),762.62,65.29,2734.33,653.70,85.72
Width,10.07,4.49,17.96,3.29,32.67

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.68,0.05,15,0.00
6-7um,6,4.11,0.53,93,0.02
7-8um,11,7.53,1.32,170,0.04
8-9um,12,8.22,2.07,186,0.06
0-5um,0,0.00,0.00,0.00,0.00
5-10um,44,30.14,7.31,681,0.21
10-15um,59,40.41,35.89,913,1.03
15-20um,42,28.77,55.85,650,1.61
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,12,8.22,3.00,186,0.09
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

