List File,TT251.lst
Start Time,2016-08-12  15:14:39
Sampling Time,1 min 57 sec

Count,585  of  585
Particles / ml,12219

Efficiency,16.3%
PPUI,1.19

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),120.56,20.01,325.16,46.60,38.65
Aspect Ratio,0.71,0.25,0.98,0.12,17.43
Circle Fit,0.66,0.02,0.91,0.13,18.88
Circularity (Hu),0.88,0.18,0.99,0.11,12.24
Compactness,1.90,1.04,11.67,1.03,54.42
Diameter (ABD),12.13,5.05,20.35,2.53,20.87
Diameter (ESD),14.16,6.36,23.53,2.47,17.43
Elongation,3.57,1.00,34.64,3.35,93.90
Geodesic Aspect Ratio,0.40,0.03,1.00,0.20,50.52
Geodesic Length,22.69,8.52,72.47,6.73,29.66
Geodesic Thickness,8.04,1.27,19.38,2.60,32.37
Image Height,40.96,24.00,64.00,6.11,14.91
Image Width,38.83,25.00,58.00,5.27,13.56
Intensity,137.69,78.59,182.03,18.30,13.29
Length,16.68,7.47,28.64,3.05,18.27
Perimeter,61.45,30.83,149.42,12.10,19.69
Roughness,1.28,1.05,2.34,0.18,14.04
Sigma Intensity,41.60,14.73,57.43,7.99,19.21
Sum Intensity,78351.47,21713.00,2.14e+005,30342.86,38.73
Transparency,0.15,0.04,0.58,0.07,50.36
Volume (ABD),1052.09,67.34,4410.76,594.43,56.50
Width,11.25,3.21,18.77,2.39,21.27

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,3,0.51,0.05,63,0.01
7-8um,8,1.37,0.20,167,0.04
8-9um,12,2.05,0.40,251,0.08
0-5um,0,0.00,0.00,0.00,0.00
5-10um,38,6.50,1.34,794,0.26
10-15um,338,57.78,44.98,7060,8.90
15-20um,202,34.53,50.23,4219,9.94
20-25um,6,1.03,3.26,125,0.64
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,15,2.56,0.70,313,0.14
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

