List File,BB162.lst
Start Time,2016-08-16 15:29:00
Sampling Time,2 min 17 sec
Count,2046  of  2048
Particles / ml,36610
Efficiency,16.30%
PPUI,1.75
Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),106.62,19.81,275.05,36.02,33.79
Aspect Ratio,0.73,0.22,0.99,0.13,17.86
Circle Fit,0.69,0.16,0.94,0.11,15.29
Circularity (Hu),0.9,0.18,1,0.07,7.45
Compactness,1.61,1,7.35,0.51,31.46
Diameter (ABD),11.47,5.02,18.71,2.05,17.87
Diameter (ESD),13.09,5.7,21.12,2.31,17.68
Elongation,2.58,1,21.03,1.73,67.12
Geodesic Aspect Ratio,0.52,0.05,1,0.27,51.49
Geodesic Length,19.19,6.13,72.98,6.76,35.2
Geodesic Thickness,8.49,1.75,16.22,2.21,26.03
Image Height,37.93,22,61,5.52,14.55
Image Width,37.92,25,62,5.31,14
Intensity,124.45,71.68,212.04,16.71,13.43
Length,15.4,6.52,26.91,2.89,18.79
Perimeter,55.37,24.53,153.4,11.89,21.48
Roughness,1.19,1.03,2.24,0.14,11.62
Sigma Intensity,35.57,4.68,59.52,9.69,27.24
Sum Intensity,64037.27,17921,1.65E+05,22099.51,34.51
Transparency,0.12,0.03,0.57,0.04,34.39
Volume (ABD),863.98,66.31,3431.47,426.71,49.39
Width,10.42,3.18,18.51,2.25,21.57
Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0,0,0,0
3-4um,0,0,0,0,0
4-5um,0,0,0,0,0
5-6um,1,0.05,0,18,0
6-7um,20,0.98,0.12,358,0.06
7-8um,38,1.86,0.33,680,0.16
8-9um,69,3.37,0.83,1235,0.39
0-5um,0,0,0,0,0
5-10um,214,10.46,2.77,3829,1.3
10-15um,1464,71.55,65.55,26196,31
15-20um,362,17.69,30.77,6477,14
20-25um,5,0.24,0.89,89,0.42
25-30um,0,0,0,0,0
30-35um,0,0,0,0,0
35-40um,0,0,0,0,0
40-45um,0,0,0,0,0
45-50um,0,0,0,0,0
50-55um,0,0,0,0,0
55-60um,0,0,0,0,0
60-65um,0,0,0,0,0
65-70um,0,0,0,0,0
75-80um,0,0,0,0,0
80-85um,0,0,0,0,0
85-90um,0,0,0,0,0
90-95um,0,0,0,0,0
95-100um,0,0,0,0,0
9-10um,86,4.2,1.48,1539,0.69
1-2um,0,0,0,0,0
0-1um,0,0,0,0,0
