List File,BB251R1.lst
Start Time,2016-08-16 16:21:00
Sampling Time,2 min 12 sec
Count,4563  of  4607
Particles / ml,86202
Efficiency,16.00%
PPUI,3.21
Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),111.57,19.6,411.7,48.81,43.75
Aspect Ratio,0.7,0.12,1,0.15,21.07
Circle Fit,0.64,0,0.92,0.14,21.83
Circularity (Hu),0.86,0.13,1,0.12,13.94
Compactness,1.91,1.04,10.96,0.99,51.97
Diameter (ABD),11.63,5,22.9,2.59,22.25
Diameter (ESD),13.66,5.46,25.99,2.98,21.82
Elongation,3.58,1,32.41,3.27,91.5
Geodesic Aspect Ratio,0.45,0.03,1,0.28,62.19
Geodesic Length,22.46,6.05,83.69,10.9,48.52
Geodesic Thickness,7.88,1.37,19.57,2.52,31.94
Image Height,38.33,21,81,6.7,17.48
Image Width,39.47,21,76,6.37,16.13
Intensity,138.82,72.62,227.15,22.41,16.14
Length,16.07,6.22,37.55,3.3,20.53
Perimeter,60.68,24.2,173.7,19.7,32.47
Roughness,1.27,1.04,2.42,0.24,18.76
Sigma Intensity,32.42,2.47,58.04,11.4,35.15
Sum Intensity,74992.89,16314,2.79E+05,35128.09,46.84
Transparency,0.15,0.04,0.65,0.07,51.1
Volume (ABD),948.42,65.29,6284.09,630.19,66.45
Width,10.73,2.43,23.74,3.25,30.31
Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0,0,0,0
3-4um,0,0,0,0,0
4-5um,0,0,0,0,0
5-6um,6,0.13,0.01,113,0.01
6-7um,50,1.1,0.1,945,0.14
7-8um,66,1.45,0.21,1247,0.27
8-9um,87,1.91,0.4,1644,0.53
0-5um,0,0,0,0,0
5-10um,365,8,1.73,6895,2.28
10-15um,2987,65.46,47.45,56429,63
15-20um,1070,23.45,40.49,20214,53
20-25um,121,2.65,8.77,2286,12
25-30um,11,0.24,1.37,208,1.81
30-35um,0,0,0,0,0
35-40um,0,0,0,0,0
40-45um,0,0,0,0,0
45-50um,0,0,0,0,0
50-55um,0,0,0,0,0
55-60um,0,0,0,0,0
60-65um,0,0,0,0,0
65-70um,0,0,0,0,0
75-80um,0,0,0,0,0
80-85um,0,0,0,0,0
85-90um,0,0,0,0,0
90-95um,0,0,0,0,0
95-100um,0,0,0,0,0
9-10um,153,3.35,1,2890,1.31
1-2um,0,0,0,0,0
0-1um,0,0,0,0,0
