List File,CH251.lst
Start Time,2016-08-16  15:44:51
Sampling Time,2 min 21 sec

Count,8157  of  8157
Particles / ml,143934

Efficiency,16.1%
PPUI,4.94

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),58.96,19.60,271.55,27.10,45.97
Aspect Ratio,0.85,0.30,1.00,0.08,9.83
Circle Fit,0.76,0.06,0.95,0.09,12.46
Circularity (Hu),0.93,0.15,1.00,0.07,7.63
Compactness,1.76,1.00,16.30,0.87,49.14
Diameter (ABD),8.45,5.00,18.59,1.93,22.85
Diameter (ESD),9.87,5.31,24.10,2.38,24.13
Elongation,3.11,1.00,49.19,2.86,91.77
Geodesic Aspect Ratio,0.49,0.02,1.00,0.28,57.64
Geodesic Length,16.55,5.77,75.82,8.22,49.66
Geodesic Thickness,6.29,1.36,17.48,1.66,26.32
Image Height,32.20,19.00,67.00,4.62,14.36
Image Width,31.98,21.00,63.00,4.65,14.54
Intensity,145.30,86.08,211.17,17.58,12.10
Length,11.07,5.58,29.94,2.72,24.54
Perimeter,45.69,23.10,156.13,14.97,32.77
Roughness,1.26,1.03,2.49,0.20,15.71
Sigma Intensity,37.80,3.14,52.81,7.74,20.48
Sum Intensity,46892.60,15353.00,1.91e+005,19973.46,42.59
Transparency,0.14,0.04,0.62,0.05,37.63
Volume (ABD),366.51,65.29,3366.13,258.02,70.40
Width,8.54,3.59,19.92,2.16,25.27

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,98,1.20,0.20,1729,0.17
6-7um,683,8.37,2.13,12052,1.83
7-8um,1324,16.23,6.03,23363,5.18
8-9um,1220,14.96,8.06,21527,6.92
0-5um,0,0.00,0.00,0.00,0.00
5-10um,4470,54.80,26.85,78875,23
10-15um,3491,42.80,64.08,61600,55
15-20um,180,2.21,8.23,3176,7.06
20-25um,6,0.07,0.74,106,0.63
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1106,13.56,10.23,19516,8.78
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

