List File,CH254R2.lst
Start Time,2016-08-16  15:56:51
Sampling Time,1 min 43 sec

Count,6778  of  6778
Particles / ml,163403

Efficiency,16.0%
PPUI,5.60

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),58.51,19.60,393.54,26.99,46.13
Aspect Ratio,0.85,0.28,1.00,0.08,9.65
Circle Fit,0.76,0.11,0.94,0.10,12.80
Circularity (Hu),0.93,0.15,1.00,0.07,7.13
Compactness,1.77,1.00,10.46,0.84,47.48
Diameter (ABD),8.42,5.00,22.38,1.92,22.81
Diameter (ESD),9.84,5.30,25.59,2.38,24.18
Elongation,3.15,1.00,30.82,2.78,88.37
Geodesic Aspect Ratio,0.48,0.03,1.00,0.28,57.98
Geodesic Length,16.66,5.77,70.50,8.30,49.83
Geodesic Thickness,6.23,1.36,17.01,1.61,25.89
Image Height,32.20,22.00,61.00,4.63,14.39
Image Width,31.86,21.00,69.00,4.59,14.42
Intensity,146.24,89.79,210.05,17.07,11.67
Length,11.03,5.58,31.30,2.70,24.53
Perimeter,45.77,23.10,147.80,15.12,33.04
Roughness,1.27,1.03,2.45,0.20,15.83
Sigma Intensity,37.89,3.13,58.61,7.57,19.98
Sum Intensity,46956.42,15150.00,2.52e+005,19984.81,42.56
Transparency,0.14,0.04,0.63,0.05,35.63
Volume (ABD),362.40,65.29,5872.93,260.38,71.85
Width,8.52,3.78,17.63,2.13,25.05

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,88,1.30,0.22,2121,0.21
6-7um,579,8.54,2.16,13958,2.09
7-8um,1087,16.04,6.04,26205,5.83
8-9um,1051,15.51,8.37,25337,8.09
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3772,55.65,27.47,90935,27
10-15um,2844,41.96,63.79,68563,62
15-20um,140,2.07,7.63,3375,7.37
20-25um,5,0.07,0.62,121,0.60
25-30um,1,0.01,0.22,24,0.21
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,933,13.77,10.48,22493,10
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

