List File,TT163R1.lst
Start Time,2016-08-16  15:12:49
Sampling Time,2 min 17 sec

Count,3513  of  3517
Particles / ml,63073

Efficiency,16.2%
PPUI,2.44

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),117.26,19.60,347.52,31.70,27.04
Aspect Ratio,0.69,0.22,0.99,0.12,17.87
Circle Fit,0.67,0.03,0.94,0.10,15.56
Circularity (Hu),0.89,0.14,1.00,0.07,7.90
Compactness,1.62,1.02,8.96,0.45,27.74
Diameter (ABD),12.11,5.00,21.03,1.64,13.56
Diameter (ESD),13.87,5.79,25.06,1.87,13.50
Elongation,2.65,1.00,26.11,1.55,58.65
Geodesic Aspect Ratio,0.48,0.04,1.00,0.24,50.27
Geodesic Length,20.51,6.64,81.29,6.24,30.42
Geodesic Thickness,8.62,1.46,17.57,2.00,23.21
Image Height,38.99,23.00,73.00,5.32,13.65
Image Width,39.68,24.00,62.00,4.94,12.45
Intensity,124.23,74.89,214.20,16.07,12.94
Length,16.50,6.99,32.53,2.30,13.95
Perimeter,58.26,26.55,171.22,10.48,17.99
Roughness,1.19,1.03,2.35,0.12,9.96
Sigma Intensity,36.69,4.17,58.23,9.61,26.18
Sum Intensity,69837.84,19097.00,1.97e+005,22019.28,31.53
Transparency,0.13,0.03,0.63,0.04,32.17
Volume (ABD),980.94,65.29,4873.32,406.76,41.47
Width,10.83,3.14,22.93,2.14,19.73

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.03,0.00,18,0.00
6-7um,1,0.03,0.00,18,0.00
7-8um,4,0.11,0.02,72,0.02
8-9um,21,0.60,0.14,377,0.13
0-5um,0,0.00,0.00,0.00,0.00
5-10um,81,2.31,0.64,1454,0.59
10-15um,2599,73.98,62.56,46663,58
15-20um,808,23.00,34.59,14507,32
20-25um,18,0.51,1.85,323,1.72
25-30um,1,0.03,0.16,18,0.15
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,54,1.54,0.48,970,0.44
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

