List File,BB164.lst
Start Time,2016-08-19 12:55:00
Sampling Time,25 sec
Count,485  of  485
Particles / ml,44038
Efficiency,8.60%
PPUI,2
Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),81.19,20.01,218.02,43.46,53.53
Aspect Ratio,0.81,0.46,0.99,0.11,13.07
Circle Fit,0.76,0.3,0.95,0.11,14.62
Circularity (Hu),0.94,0.62,1,0.05,5.08
Compactness,1.49,1,5.35,0.49,33.19
Diameter (ABD),9.79,5.05,16.66,2.75,28.06
Diameter (ESD),11.03,5.32,19.11,3.18,28.85
Elongation,2.23,1,14.74,1.67,74.93
Geodesic Aspect Ratio,0.66,0.07,1,0.33,50.55
Geodesic Length,15.63,5.77,57.63,8.05,51.52
Geodesic Thickness,8.06,2.66,15.78,2.44,30.28
Image Height,33.94,23,53,6.09,17.94
Image Width,34.41,23,56,6.41,18.62
Intensity,127.2,83.6,204.63,14.12,11.1
Length,12.55,5.76,23.03,3.69,29.39
Perimeter,47.37,23.1,123.09,15.41,32.52
Roughness,1.18,1.03,1.86,0.14,12.13
Sigma Intensity,32.7,2.77,59.39,12.69,38.81
Sum Intensity,51164.26,15721,1.09E+05,22060.99,43.12
Transparency,0.11,0.03,0.38,0.05,42.63
Volume (ABD),608.84,67.34,2421.7,461,75.72
Width,9.25,3.97,16.59,2.85,30.86
Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0,0,0,0
3-4um,0,0,0,0,0
4-5um,0,0,0,0,0
5-6um,3,0.62,0.07,272,0.03
6-7um,34,7.01,1.21,3087,0.47
7-8um,80,16.49,4.29,7264,1.67
8-9um,67,13.81,4.9,6084,1.9
0-5um,0,0,0,0,0
5-10um,216,44.54,13.78,19613,5.36
10-15um,209,43.09,55.59,18977,22
15-20um,60,12.37,30.63,5448,12
20-25um,0,0,0,0,0
25-30um,0,0,0,0,0
30-35um,0,0,0,0,0
35-40um,0,0,0,0,0
40-45um,0,0,0,0,0
45-50um,0,0,0,0,0
50-55um,0,0,0,0,0
55-60um,0,0,0,0,0
60-65um,0,0,0,0,0
65-70um,0,0,0,0,0
75-80um,0,0,0,0,0
80-85um,0,0,0,0,0
85-90um,0,0,0,0,0
90-95um,0,0,0,0,0
95-100um,0,0,0,0,0
9-10um,31,6.39,3.23,2815,1.25
1-2um,0,0,0,0,0
0-1um,0,0,0,0,0
