List File,B253.lst
Start Time,2016-08-19  13:08:11
Sampling Time,1 min 7 sec

Count,3687  of  3687
Particles / ml,129783

Efficiency,8.5%
PPUI,4.70

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),55.64,19.60,190.51,23.54,42.31
Aspect Ratio,0.85,0.34,1.00,0.08,9.50
Circle Fit,0.77,0.06,0.95,0.08,10.93
Circularity (Hu),0.94,0.21,1.00,0.04,4.75
Compactness,1.61,1.00,9.33,0.59,36.73
Diameter (ABD),8.24,5.00,15.57,1.72,20.87
Diameter (ESD),9.54,5.30,19.93,2.07,21.67
Elongation,2.63,1.00,27.28,1.98,75.13
Geodesic Aspect Ratio,0.54,0.04,1.00,0.29,54.37
Geodesic Length,15.01,5.86,63.26,6.70,44.62
Geodesic Thickness,6.50,1.60,14.51,1.59,24.42
Image Height,31.64,22.00,60.00,4.26,13.48
Image Width,31.28,22.00,58.00,3.90,12.48
Intensity,142.48,95.50,208.08,16.97,11.91
Length,10.70,5.58,25.69,2.36,22.04
Perimeter,43.03,23.42,131.28,12.03,27.95
Roughness,1.23,1.03,2.27,0.16,12.62
Sigma Intensity,35.83,2.55,50.72,8.54,23.83
Sum Intensity,43893.78,15701.00,1.45e+005,17556.23,40.00
Transparency,0.13,0.03,0.56,0.05,34.09
Volume (ABD),332.37,65.29,1978.07,215.53,64.85
Width,8.24,4.14,16.29,1.90,23.08

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,40,1.08,0.21,1408,0.14
6-7um,284,7.70,2.24,9997,1.52
7-8um,615,16.68,7.16,21648,4.84
8-9um,696,18.88,11.59,24499,7.83
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2283,61.92,36.10,80362,24
10-15um,1357,36.80,59.03,47766,40
15-20um,40,1.08,4.68,1408,3.16
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,636,17.25,14.75,22387,9.97
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

