List File,BLANK25.lst
Start Time,2016-08-19  13:53:42
Sampling Time,1 min 10 sec

Count,4  of  4
Particles / ml,132

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),29.92,19.81,42.46,11.25,37.62
Aspect Ratio,0.81,0.71,0.95,0.10,12.36
Circle Fit,0.69,0.48,0.82,0.15,21.27
Circularity (Hu),0.84,0.62,0.96,0.15,17.76
Compactness,2.71,1.55,5.60,1.94,71.76
Diameter (ABD),6.09,5.02,7.35,1.17,19.16
Diameter (ESD),7.91,6.29,10.97,2.16,27.25
Elongation,6.24,2.47,15.54,6.25,100.15
Geodesic Aspect Ratio,0.27,0.06,0.40,0.15,57.34
Geodesic Length,18.05,11.21,34.38,10.93,60.57
Geodesic Thickness,3.70,2.21,5.24,1.29,34.77
Image Height,30.00,27.00,37.00,4.69,15.63
Image Width,27.00,24.00,30.00,2.58,9.56
Intensity,174.90,163.86,183.59,9.80,5.60
Length,9.17,7.52,12.75,2.44,26.59
Perimeter,43.50,30.64,73.18,19.92,45.79
Roughness,1.36,1.18,1.78,0.29,21.06
Sigma Intensity,32.18,24.68,45.40,9.35,29.07
Sum Intensity,33642.00,24743.00,45715.00,9864.12,29.32
Transparency,0.22,0.14,0.33,0.08,38.34
Volume (ABD),127.98,66.31,208.13,69.90,54.62
Width,6.43,4.71,8.43,1.72,26.80

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,50.00,22.50,66,0.01
7-8um,1,25.00,20.93,33,0.01
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,75.00,43.43,99,0.02
10-15um,1,25.00,56.57,33,0.02
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

