List File,BB161.lst
Start Time,2016-08-23  11:48:38
Sampling Time,1 min 7 sec

Count,2680  of  2681
Particles / ml,93524

Efficiency,8.5%
PPUI,3.50

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),101.09,19.60,299.91,39.06,38.64
Aspect Ratio,0.77,0.40,1.00,0.12,16.18
Circle Fit,0.71,0.04,0.93,0.10,13.49
Circularity (Hu),0.91,0.27,1.00,0.06,6.76
Compactness,1.69,1.00,11.70,0.51,30.54
Diameter (ABD),11.10,5.00,19.54,2.33,20.94
Diameter (ESD),12.77,5.36,25.33,2.58,20.20
Elongation,2.87,1.00,34.73,1.76,61.17
Geodesic Aspect Ratio,0.46,0.03,1.00,0.25,54.27
Geodesic Length,19.77,5.86,84.60,6.84,34.61
Geodesic Thickness,7.82,1.84,15.58,2.20,28.06
Image Height,37.56,23.00,72.00,5.38,14.33
Image Width,37.16,21.00,70.00,5.67,15.27
Intensity,129.89,76.71,208.83,19.44,14.97
Length,14.78,5.58,31.84,3.02,20.43
Perimeter,55.18,23.42,174.08,12.70,23.02
Roughness,1.21,1.04,2.32,0.13,10.57
Sigma Intensity,37.94,2.71,58.19,11.07,29.17
Sum Intensity,63382.67,16401.00,1.68e+005,23506.02,37.09
Transparency,0.13,0.04,0.56,0.05,37.31
Volume (ABD),808.06,65.29,3907.08,449.46,55.62
Width,10.52,3.51,18.97,2.50,23.77

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,0.15,0.01,140,0.01
6-7um,45,1.68,0.21,1570,0.24
7-8um,108,4.03,0.73,3769,0.84
8-9um,115,4.29,1.13,4013,1.29
0-5um,0,0.00,0.00,0.00,0.00
5-10um,387,14.44,3.67,13505,4.19
10-15um,1832,68.36,63.70,63932,73
15-20um,446,16.64,30.30,15564,35
20-25um,11,0.41,1.94,384,2.22
25-30um,1,0.04,0.26,35,0.30
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,112,4.18,1.56,3908,1.78
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

