List File,CONT25.lst
Start Time,2016-08-23  12:44:33
Sampling Time,45 sec

Count,7  of  7
Particles / ml,360

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),51.47,21.24,133.02,39.05,75.87
Aspect Ratio,0.65,0.39,0.88,0.17,26.18
Circle Fit,0.57,0.38,0.79,0.14,25.36
Circularity (Hu),0.75,0.51,0.96,0.15,20.66
Compactness,2.69,1.50,3.84,0.85,31.60
Diameter (ABD),7.69,5.20,13.01,2.72,35.34
Diameter (ESD),10.32,8.14,14.90,2.60,25.20
Elongation,6.23,2.27,9.95,2.78,44.60
Geodesic Aspect Ratio,0.20,0.10,0.44,0.12,60.54
Geodesic Length,21.81,12.49,30.15,6.63,30.38
Geodesic Thickness,4.03,2.46,7.52,1.83,45.41
Image Height,34.29,27.00,43.00,6.02,17.56
Image Width,32.14,24.00,38.00,5.27,16.41
Intensity,147.15,108.48,177.36,24.72,16.80
Length,12.68,9.33,17.85,2.94,23.16
Perimeter,51.68,35.98,67.46,13.59,26.30
Roughness,1.38,1.13,1.73,0.20,14.40
Sigma Intensity,31.97,26.26,43.75,6.19,19.35
Sum Intensity,40119.00,22841.00,75436.00,19416.91,48.40
Transparency,0.27,0.13,0.36,0.09,35.39
Volume (ABD),324.10,73.66,1154.15,382.16,117.91
Width,7.45,3.72,12.44,3.00,40.22

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,4,57.14,26.48,206,0.06
0-5um,0,0.00,0.00,0.00,0.00
5-10um,4,57.14,26.48,206,0.06
10-15um,3,42.86,73.52,154,0.18
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

