List File,TT165.lst
Start Time,2016-08-23  11:46:22
Sampling Time,1 min 7 sec

Count,2109  of  2111
Particles / ml,73511

Efficiency,8.5%
PPUI,2.87

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),110.74,22.91,293.14,31.47,28.42
Aspect Ratio,0.77,0.43,1.00,0.13,16.45
Circle Fit,0.71,0.29,0.94,0.09,12.15
Circularity (Hu),0.92,0.57,1.00,0.05,5.71
Compactness,1.65,1.02,4.25,0.39,23.84
Diameter (ABD),11.76,5.40,19.32,1.68,14.26
Diameter (ESD),13.43,6.72,23.32,1.93,14.35
Elongation,2.75,1.00,11.27,1.39,50.53
Geodesic Aspect Ratio,0.47,0.09,1.00,0.25,52.91
Geodesic Length,20.49,7.19,54.11,6.31,30.81
Geodesic Thickness,8.23,2.29,15.22,1.94,23.56
Image Height,38.71,25.00,66.00,4.74,12.24
Image Width,38.42,24.00,55.00,4.51,11.73
Intensity,124.25,74.63,183.99,16.26,13.09
Length,15.51,7.73,29.05,2.21,14.26
Perimeter,57.45,28.76,122.49,10.69,18.61
Roughness,1.21,1.04,1.80,0.12,10.05
Sigma Intensity,39.90,17.25,58.13,9.65,24.18
Sum Intensity,66646.13,18461.00,1.82e+005,21379.01,32.08
Transparency,0.12,0.03,0.40,0.04,28.68
Volume (ABD),902.78,82.47,3775.58,390.82,43.29
Width,11.12,5.25,19.84,2.18,19.64

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.05,0.01,35,0.01
7-8um,5,0.24,0.04,174,0.04
8-9um,21,1.00,0.24,732,0.24
0-5um,0,0.00,0.00,0.00,0.00
5-10um,76,3.60,1.08,2649,1.07
10-15um,1616,76.62,66.14,56327,66
15-20um,407,19.30,31.53,14186,31
20-25um,5,0.24,0.94,174,0.93
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,48,2.28,0.78,1673,0.77
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

