List File,BB255.lst
Start Time,2016-08-26  10:37:30
Sampling Time,50 sec

Count,1624
Particles / ml,75298

Efficiency,8.6%
PPUI,2.89

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),96.33,21.04,280.44,31.17,32.36
Aspect Ratio,0.75,0.39,1.00,0.12,16.55
Circle Fit,0.70,0.08,0.94,0.09,13.40
Circularity (Hu),0.91,0.45,1.00,0.06,6.83
Compactness,1.66,1.00,6.95,0.40,24.31
Diameter (ABD),10.93,5.18,18.90,1.80,16.43
Diameter (ESD),12.58,5.54,24.30,1.97,15.65
Elongation,2.78,1.00,19.78,1.41,50.52
Geodesic Aspect Ratio,0.45,0.05,1.00,0.23,51.13
Geodesic Length,19.39,6.05,52.94,5.64,29.06
Geodesic Thickness,7.69,1.61,15.45,1.93,25.05
Image Height,36.98,21.00,69.00,4.70,12.72
Image Width,37.03,24.00,52.00,4.58,12.35
Intensity,130.63,80.60,185.42,17.41,13.33
Length,14.61,6.48,30.49,2.32,15.89
Perimeter,54.17,24.20,119.45,9.98,18.43
Roughness,1.21,1.04,1.86,0.12,9.65
Sigma Intensity,39.71,14.40,56.33,8.03,20.22
Sum Intensity,62532.54,16923.00,1.67e+005,22189.54,35.48
Transparency,0.13,0.04,0.44,0.04,30.44
Volume (ABD),738.73,72.59,3532.91,361.18,48.89
Width,10.27,3.59,16.95,2.08,20.24

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.18,0.02,139,0.01
6-7um,5,0.31,0.04,232,0.03
7-8um,25,1.54,0.32,1159,0.27
8-9um,32,1.97,0.57,1484,0.48
0-5um,0,0.00,0.00,0.00,0.00
5-10um,139,8.56,2.78,6445,2.34
10-15um,1323,81.47,77.75,61342,66
15-20um,157,9.67,18.81,7279,16
20-25um,1,0.06,0.41,46,0.35
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,73,4.50,1.83,3385,1.54
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

