List File,BB161R2.lst
Start Time,2016-08-30  13:46:57
Sampling Time,1 min 9 sec

Count,1369
Particles / ml,46230

Efficiency,8.5%
PPUI,2.03

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),101.71,19.81,1715.05,60.40,59.39
Aspect Ratio,0.77,0.21,1.00,0.14,18.60
Circle Fit,0.70,0.00,0.95,0.15,21.87
Circularity (Hu),0.90,0.14,1.00,0.13,14.03
Compactness,1.77,1.00,14.13,1.37,77.66
Diameter (ABD),11.06,5.02,46.73,2.68,24.22
Diameter (ESD),12.71,5.61,48.15,3.01,23.72
Elongation,3.12,1.00,42.38,4.43,142.06
Geodesic Aspect Ratio,0.60,0.02,1.00,0.35,57.94
Geodesic Length,18.76,6.05,64.14,9.37,49.92
Geodesic Thickness,8.56,1.28,32.40,2.93,34.24
Image Height,36.95,22.00,101.00,6.26,16.95
Image Width,37.27,19.00,100.00,6.68,17.92
Intensity,123.96,71.61,203.70,16.37,13.21
Length,14.65,6.11,48.76,3.65,24.88
Perimeter,54.65,24.20,182.41,16.30,29.83
Roughness,1.21,1.03,2.18,0.17,13.89
Sigma Intensity,33.75,3.98,67.19,11.42,33.83
Sum Intensity,60168.50,15288.00,4.46e+005,24523.73,40.76
Transparency,0.12,0.03,0.65,0.09,71.81
Volume (ABD),846.87,66.31,53429.11,1498.90,176.99
Width,10.33,2.49,47.25,2.97,28.79

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.22,0.02,101,0.01
6-7um,24,1.75,0.21,810,0.12
7-8um,72,5.26,0.93,2431,0.55
8-9um,85,6.21,1.55,2870,0.91
0-5um,0,0.00,0.00,0.00,0.00
5-10um,276,20.16,5.14,9320,3.01
10-15um,808,59.02,53.82,27286,32
15-20um,274,20.01,35.96,9253,21
20-25um,4,0.29,1.28,135,0.75
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,1,0.07,3.37,34,1.97
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,92,6.72,2.42,3107,1.42
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

