List File,TT162.lst
Start Time,2016-08-30 12:06
Sampling Time,1 min 6 sec
Count,596
Particles / ml,20963
Efficiency,8.60%
PPUI,1.44
Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),114.26,19.6,331.15,40.37,35.33
Aspect Ratio,0.76,0.28,0.99,0.14,18.18
Circle Fit,0.7,0.31,0.91,0.1,14.52
Circularity (Hu),0.91,0.27,0.99,0.08,9.09
Compactness,1.75,1.01,10.21,0.62,35.19
Diameter (ABD),11.85,5,20.53,2.25,19.03
Diameter (ESD),13.66,6.43,22.53,2.36,17.32
Elongation,3.1,1,30.03,2.05,66.07
Geodesic Aspect Ratio,0.41,0.03,1,0.22,52.92
Geodesic Length,21.62,7.97,42.93,6.22,28.76
Geodesic Thickness,7.9,1.43,15.06,2.13,26.94
Image Height,38.89,21,54,5.41,13.91
Image Width,39.01,21,57,5.14,13.17
Intensity,128.09,70.15,210.52,18.61,14.53
Length,15.81,7.12,25.05,2.68,16.94
Perimeter,59.03,28.81,95.49,11.47,19.44
Roughness,1.23,1.04,1.95,0.12,10.09
Sigma Intensity,41.48,5.24,59.41,8.8,21.22
Sum Intensity,69783.37,19953,1.58E+05,24668.53,35.35
Transparency,0.13,0.04,0.54,0.05,39.43
Volume (ABD),962.4,65.29,4533.19,493.4,51.27
Width,11.26,3.38,20.33,2.59,22.99
Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0,0,0,0
3-4um,0,0,0,0,0
4-5um,0,0,0,0,0
5-6um,0,0,0,0,0
6-7um,5,0.84,0.09,176,0.03
7-8um,8,1.34,0.22,281,0.07
8-9um,15,2.52,0.55,528,0.17
0-5um,0,0,0,0,0
5-10um,47,7.89,1.88,1653,0.57
10-15um,380,63.76,53.76,13366,16
15-20um,166,27.85,43.4,5839,13
20-25um,1,0.17,0.69,35,0.21
25-30um,0,0,0,0,0
30-35um,0,0,0,0,0
35-40um,0,0,0,0,0
40-45um,0,0,0,0,0
45-50um,0,0,0,0,0
50-55um,0,0,0,0,0
55-60um,0,0,0,0,0
60-65um,0,0,0,0,0
65-70um,0,0,0,0,0
75-80um,0,0,0,0,0
80-85um,0,0,0,0,0
85-90um,0,0,0,0,0
90-95um,0,0,0,0,0
95-100um,0,0,0,0,0
9-10um,19,3.19,1.02,668,0.31
1-2um,0,0,0,0,0
0-1um,0,0,0,0,0
