List File,CH163.lst
Start Time,2016-09-02  13:58:15
Sampling Time,56 sec

Count,2717
Particles / ml,114539

Efficiency,8.5%
PPUI,4.20

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),52.19,19.60,161.19,18.41,35.27
Aspect Ratio,0.85,0.34,1.00,0.08,8.91
Circle Fit,0.79,0.12,0.95,0.08,10.34
Circularity (Hu),0.95,0.48,1.00,0.04,3.81
Compactness,1.49,1.00,4.66,0.42,27.98
Diameter (ABD),8.03,5.00,14.33,1.41,17.50
Diameter (ESD),9.19,5.36,19.64,1.72,18.67
Elongation,2.23,1.00,12.55,1.41,63.10
Geodesic Aspect Ratio,0.61,0.08,1.00,0.31,50.00
Geodesic Length,13.45,5.89,49.14,5.39,40.08
Geodesic Thickness,6.81,2.80,11.91,1.58,23.20
Image Height,31.13,22.00,51.00,3.76,12.09
Image Width,30.58,22.00,54.00,3.36,10.97
Intensity,135.34,96.39,179.61,15.66,11.57
Length,10.33,5.76,25.59,2.02,19.53
Perimeter,40.51,23.55,107.21,9.19,22.68
Roughness,1.21,1.03,1.95,0.14,11.19
Sigma Intensity,33.70,9.58,50.94,8.86,26.29
Sum Intensity,39559.64,15347.00,1.11e+005,13160.36,33.27
Transparency,0.12,0.03,0.32,0.05,38.09
Volume (ABD),296.52,65.29,1539.42,160.12,54.00
Width,7.89,4.14,13.85,1.54,19.47

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,39,1.44,0.31,1644,0.16
6-7um,194,7.14,2.42,8178,1.25
7-8um,476,17.52,8.70,20066,4.49
8-9um,602,22.16,15.78,25378,8.15
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1872,68.90,47.62,78917,25
10-15um,833,30.66,50.31,35116,26
15-20um,9,0.33,1.94,379,1.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,551,20.28,20.18,23228,10
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

