List File,BB162R2.lst
Start Time,2016-09-13  16:25:59
Sampling Time,1 min 7 sec

Count,1060
Particles / ml,36727

Efficiency,8.6%
PPUI,1.83

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),126.09,20.22,417.22,38.64,30.65
Aspect Ratio,0.76,0.33,0.99,0.12,16.46
Circle Fit,0.67,0.05,0.93,0.11,16.70
Circularity (Hu),0.90,0.35,1.00,0.08,8.53
Compactness,1.87,1.02,10.21,0.73,38.95
Diameter (ABD),12.51,5.07,23.05,2.01,16.04
Diameter (ESD),14.49,6.09,28.43,2.25,15.56
Elongation,3.49,1.00,30.04,2.42,69.20
Geodesic Aspect Ratio,0.40,0.03,1.00,0.23,59.03
Geodesic Length,23.90,7.58,94.19,8.21,34.34
Geodesic Thickness,8.04,1.79,16.04,2.35,29.24
Image Height,40.99,23.00,79.00,5.30,12.94
Image Width,40.01,24.00,68.00,5.29,13.22
Intensity,133.74,77.52,195.49,18.39,13.75
Length,16.72,7.26,36.94,2.63,15.70
Perimeter,63.88,27.90,194.64,14.22,22.26
Roughness,1.29,1.03,2.50,0.17,13.53
Sigma Intensity,41.82,11.12,57.37,7.52,17.98
Sum Intensity,79653.07,17830.00,2.88e+005,26478.60,33.24
Transparency,0.14,0.03,0.55,0.05,38.35
Volume (ABD),1102.48,68.37,6410.68,512.75,46.51
Width,12.00,3.02,23.84,2.37,19.76

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,0.19,0.02,69,0.01
7-8um,6,0.57,0.07,208,0.05
8-9um,6,0.57,0.11,208,0.07
0-5um,0,0.00,0.00,0.00,0.00
5-10um,30,2.83,0.59,1039,0.37
10-15um,604,56.98,43.04,20927,27
15-20um,415,39.15,51.90,14379,33
20-25um,6,0.57,2.13,208,1.34
25-30um,4,0.38,2.24,139,1.41
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,16,1.51,0.40,554,0.25
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

