List File,CH253_copy.lst
Start Time,2016-09-13  18:09:27
Sampling Time,54 sec

Count,6041  of  6041
Particles / ml,265245

Efficiency,8.4%
PPUI,10.36

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),51.14,19.60,205.82,18.58,36.34
Aspect Ratio,0.82,0.37,1.00,0.09,11.48
Circle Fit,0.78,0.09,0.96,0.08,10.17
Circularity (Hu),0.94,0.55,1.00,0.04,4.03
Compactness,1.40,1.00,2.53,0.33,23.54
Diameter (ABD),7.94,5.00,16.19,1.43,18.02
Diameter (ESD),9.02,5.25,19.43,1.68,18.59
Elongation,1.94,1.00,5.77,1.12,57.61
Geodesic Aspect Ratio,0.68,0.17,1.00,0.31,45.35
Geodesic Length,12.34,5.86,36.59,4.57,37.02
Geodesic Thickness,7.12,2.81,12.70,1.65,23.21
Image Height,30.51,20.00,56.00,3.64,11.93
Image Width,30.55,21.00,54.00,3.49,11.41
Intensity,132.25,89.33,195.15,15.48,11.70
Length,10.27,5.58,23.27,2.05,19.95
Perimeter,38.90,23.42,88.16,7.82,20.09
Roughness,1.18,1.02,1.72,0.12,10.47
Sigma Intensity,30.87,2.64,52.28,11.67,37.81
Sum Intensity,37640.47,15127.00,1.30e+005,11336.22,30.12
Transparency,0.12,0.03,0.36,0.05,41.98
Volume (ABD),288.36,65.29,2221.30,161.68,56.07
Width,7.59,4.05,13.54,1.49,19.64

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,95,1.57,0.37,4171,0.42
6-7um,546,9.04,3.22,23973,3.64
7-8um,1098,18.18,9.56,48210,11
8-9um,1388,22.98,17.30,60944,20
0-5um,0,0.00,0.00,0.00,0.00
5-10um,4347,71.96,51.48,190866,58
10-15um,1665,27.56,46.16,73106,52
15-20um,23,0.38,2.24,1010,2.53
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1186,19.63,20.70,52074,23
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

