List File,TT254.lst
Start Time,2016-09-13  17:59:28
Sampling Time,55 sec

Count,2593
Particles / ml,110469

Efficiency,8.5%
PPUI,4.11

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),99.70,21.04,331.42,27.73,27.82
Aspect Ratio,0.75,0.34,1.00,0.12,16.08
Circle Fit,0.67,0.00,0.94,0.11,16.41
Circularity (Hu),0.90,0.39,1.00,0.07,7.55
Compactness,1.79,1.03,10.39,0.60,33.58
Diameter (ABD),11.16,5.18,20.54,1.56,14.00
Diameter (ESD),13.01,6.88,28.11,1.86,14.27
Elongation,3.25,1.00,30.62,2.04,62.92
Geodesic Aspect Ratio,0.43,0.03,1.00,0.26,60.66
Geodesic Length,21.12,7.47,84.61,7.12,33.70
Geodesic Thickness,7.55,1.33,14.82,2.17,28.79
Image Height,37.89,24.00,74.00,4.48,11.83
Image Width,37.65,24.00,79.00,4.54,12.05
Intensity,133.20,79.98,194.87,15.89,11.93
Length,15.00,8.02,36.13,2.12,14.14
Perimeter,57.35,29.86,178.04,11.76,20.51
Roughness,1.28,1.04,2.55,0.17,13.05
Sigma Intensity,39.31,9.90,59.78,8.31,21.13
Sum Intensity,65397.09,15315.00,2.06e+005,19321.09,29.54
Transparency,0.14,0.04,0.52,0.04,30.76
Volume (ABD),770.27,72.59,4538.78,329.17,42.73
Width,10.67,4.90,21.28,2.06,19.33

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.04,0.01,43,0.01
7-8um,11,0.42,0.08,469,0.11
8-9um,38,1.47,0.40,1619,0.54
0-5um,0,0.00,0.00,0.00,0.00
5-10um,130,5.01,1.61,5538,2.18
10-15um,2180,84.07,77.92,92874,105
15-20um,269,10.37,17.84,11460,24
20-25um,7,0.27,1.24,298,1.68
25-30um,4,0.15,1.26,170,1.71
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,78,3.01,1.11,3323,1.50
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

