List File,CH253.lst
Start Time,2016-09-20  16:24:52
Sampling Time,1 min 7 sec

Count,4874
Particles / ml,171127

Efficiency,8.4%
PPUI,6.16

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),41.95,19.60,129.18,16.01,38.16
Aspect Ratio,0.83,0.36,1.00,0.08,10.22
Circle Fit,0.80,0.15,0.95,0.07,9.31
Circularity (Hu),0.95,0.48,1.00,0.04,4.02
Compactness,1.35,1.00,3.74,0.33,24.66
Diameter (ABD),7.19,5.00,12.83,1.32,18.31
Diameter (ESD),8.14,5.27,16.10,1.48,18.18
Elongation,1.78,1.00,9.64,1.11,62.20
Geodesic Aspect Ratio,0.73,0.10,1.00,0.30,41.33
Geodesic Length,10.85,5.74,37.78,4.02,37.02
Geodesic Thickness,6.85,2.27,12.41,1.60,23.40
Image Height,28.89,18.00,46.00,3.19,11.05
Image Width,28.96,18.00,51.00,3.05,10.54
Intensity,136.49,86.28,174.50,13.98,10.24
Length,9.24,5.58,21.30,1.71,18.52
Perimeter,35.39,22.96,84.44,6.85,19.37
Roughness,1.16,1.03,1.78,0.12,10.64
Sigma Intensity,28.07,3.49,52.12,13.01,46.35
Sum Intensity,33304.11,15044.00,87649.00,9317.72,27.98
Transparency,0.12,0.03,0.32,0.05,43.51
Volume (ABD),214.99,65.29,1104.52,128.55,59.79
Width,6.87,4.12,12.86,1.39,20.25

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,156,3.20,1.00,5477,0.53
6-7um,996,20.43,9.91,34970,5.29
7-8um,1401,28.74,20.29,49189,11
8-9um,1024,21.01,21.37,35953,11
0-5um,0,0.00,0.00,0.00,0.00
5-10um,4250,87.20,71.68,149219,38
10-15um,619,12.70,27.76,21733,15
15-20um,4,0.08,0.53,140,0.28
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,628,12.88,18.43,22049,9.85
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

