List File,CONT25.lst
Start Time,2016-09-20  16:41:39
Sampling Time,1 min 7 sec

Count,2983
Particles / ml,104614

Efficiency,8.5%
PPUI,3.82

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),84.10,19.60,258.91,25.90,30.80
Aspect Ratio,0.76,0.40,0.99,0.13,16.46
Circle Fit,0.70,0.08,0.95,0.11,15.27
Circularity (Hu),0.91,0.59,1.00,0.06,6.28
Compactness,1.65,1.00,5.11,0.51,31.09
Diameter (ABD),10.21,5.00,18.16,1.67,16.34
Diameter (ESD),11.78,5.31,22.93,2.01,17.11
Elongation,2.75,1.00,13.97,1.77,64.54
Geodesic Aspect Ratio,0.53,0.07,1.00,0.32,59.30
Geodesic Length,17.99,5.86,52.65,7.03,39.11
Geodesic Thickness,7.67,2.49,13.91,2.20,28.67
Image Height,35.58,20.00,63.00,4.54,12.77
Image Width,35.45,22.00,64.00,4.47,12.62
Intensity,128.47,76.96,203.77,15.09,11.75
Length,13.55,5.74,28.99,2.32,17.16
Perimeter,51.31,23.42,117.43,11.61,22.62
Roughness,1.23,1.03,2.01,0.16,12.70
Sigma Intensity,35.66,3.42,57.69,10.59,29.70
Sum Intensity,54664.11,17720.00,1.39e+005,16758.77,30.66
Transparency,0.13,0.04,0.35,0.04,32.44
Volume (ABD),601.12,65.29,3133.83,269.15,44.78
Width,9.66,2.88,17.23,2.16,22.39

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,13,0.44,0.05,456,0.05
6-7um,60,2.01,0.33,2104,0.32
7-8um,88,2.95,0.72,3086,0.70
8-9um,131,4.39,1.50,4594,1.46
0-5um,0,0.00,0.00,0.00,0.00
5-10um,492,16.49,5.83,17255,5.66
10-15um,2392,80.19,86.53,83888,84
15-20um,92,3.08,6.91,3226,6.71
20-25um,3,0.10,0.61,105,0.59
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,195,6.54,3.19,6839,3.10
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

