List File,TT164R2.lst
Start Time,2016-09-20  16:50:58
Sampling Time,1 min 7 sec

Count,2831
Particles / ml,99403

Efficiency,8.5%
PPUI,3.70

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),110.03,19.60,394.37,28.01,25.46
Aspect Ratio,0.75,0.31,1.00,0.13,17.42
Circle Fit,0.67,0.04,0.94,0.11,16.48
Circularity (Hu),0.90,0.33,1.00,0.06,6.73
Compactness,1.71,1.05,5.94,0.58,33.61
Diameter (ABD),11.74,5.00,22.41,1.52,12.94
Diameter (ESD),13.47,6.40,29.73,1.83,13.61
Elongation,2.95,1.00,16.61,1.99,67.42
Geodesic Aspect Ratio,0.51,0.06,1.00,0.32,62.28
Geodesic Length,20.71,7.24,66.83,8.00,38.65
Geodesic Thickness,8.46,1.85,17.71,2.56,30.28
Image Height,38.40,20.00,67.00,4.53,11.79
Image Width,38.80,21.00,83.00,4.43,11.42
Intensity,124.68,80.71,207.70,15.42,12.36
Length,15.51,7.73,40.18,2.02,13.01
Perimeter,58.33,28.95,148.39,12.52,21.47
Roughness,1.25,1.03,1.85,0.16,12.87
Sigma Intensity,36.83,3.21,57.66,10.66,28.95
Sum Intensity,66053.13,18070.00,2.32e+005,17858.24,27.04
Transparency,0.13,0.03,0.48,0.04,33.91
Volume (ABD),889.04,65.29,5891.40,348.97,39.25
Width,11.01,2.69,18.05,2.33,21.14

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,3,0.11,0.01,105,0.02
7-8um,10,0.35,0.06,351,0.08
8-9um,21,0.74,0.18,737,0.24
0-5um,0,0.00,0.00,0.00,0.00
5-10um,78,2.76,0.78,2739,1.04
10-15um,2255,79.65,70.00,79178,94
15-20um,483,17.06,27.22,16959,37
20-25um,8,0.28,1.23,281,1.66
25-30um,2,0.07,0.58,70,0.78
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,44,1.55,0.53,1545,0.71
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

