List File,CH251R2.lst
Start Time,2016-09-27  15:33:15
Sampling Time,45 sec

Count,3088
Particles / ml,160998

Efficiency,8.5%
PPUI,6.39

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),53.43,19.60,191.83,22.03,41.23
Aspect Ratio,0.86,0.32,1.00,0.08,8.96
Circle Fit,0.78,0.03,0.95,0.08,10.12
Circularity (Hu),0.94,0.22,1.00,0.04,4.53
Compactness,1.60,1.00,11.44,0.51,31.92
Diameter (ABD),8.08,5.00,15.63,1.63,20.19
Diameter (ESD),9.39,5.25,21.27,1.97,20.97
Elongation,2.59,1.00,33.90,1.74,67.03
Geodesic Aspect Ratio,0.52,0.03,1.00,0.28,52.98
Geodesic Length,14.78,5.77,58.89,5.96,40.37
Geodesic Thickness,6.38,1.67,14.43,1.51,23.64
Image Height,31.39,21.00,62.00,4.08,13.00
Image Width,31.10,23.00,52.00,3.84,12.33
Intensity,144.07,93.48,206.20,16.73,11.61
Length,10.53,5.76,27.82,2.30,21.81
Perimeter,42.31,23.10,122.44,10.71,25.31
Roughness,1.23,1.02,2.19,0.14,11.58
Sigma Intensity,38.01,4.14,50.70,7.30,19.21
Sum Intensity,42810.51,16172.00,1.40e+005,15936.12,37.22
Transparency,0.14,0.03,0.55,0.04,31.96
Volume (ABD),311.76,65.29,1998.62,199.05,63.85
Width,8.12,3.59,14.48,1.75,21.59

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,7,0.23,0.04,365,0.03
6-7um,264,8.55,2.61,13764,2.05
7-8um,573,18.56,8.49,29874,6.66
8-9um,581,18.81,12.38,30291,9.72
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1983,64.22,40.00,103387,31
10-15um,1045,33.84,56.37,54483,44
15-20um,21,0.68,2.96,1095,2.32
20-25um,2,0.06,0.64,104,0.50
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,546,17.68,16.26,28467,13
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

