List File,CH255R2.lst
Start Time,2016-09-27  15:40:53
Sampling Time,1 min 5 sec

Count,2335
Particles / ml,84000

Efficiency,8.5%
PPUI,3.19

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),94.78,21.04,268.85,32.78,34.58
Aspect Ratio,0.76,0.36,1.00,0.12,15.88
Circle Fit,0.71,0.00,0.93,0.09,13.24
Circularity (Hu),0.91,0.48,1.00,0.06,6.67
Compactness,1.68,1.00,4.92,0.42,24.94
Diameter (ABD),10.82,5.18,18.50,1.91,17.69
Diameter (ESD),12.47,6.15,24.39,2.12,17.00
Elongation,2.86,1.00,13.39,1.46,51.13
Geodesic Aspect Ratio,0.44,0.07,1.00,0.23,52.22
Geodesic Length,19.51,6.72,51.62,5.94,30.47
Geodesic Thickness,7.56,2.26,15.81,1.94,25.65
Image Height,37.15,23.00,61.00,5.04,13.56
Image Width,36.56,22.00,68.00,4.54,12.41
Intensity,133.57,79.00,180.48,17.57,13.15
Length,14.42,6.97,31.22,2.49,17.24
Perimeter,54.12,26.87,114.70,10.72,19.80
Roughness,1.22,1.03,1.89,0.13,10.43
Sigma Intensity,40.13,15.67,59.64,7.67,19.11
Sum Intensity,63318.83,16748.00,1.70e+005,23590.33,37.26
Transparency,0.13,0.04,0.36,0.04,30.03
Volume (ABD),725.00,72.59,3316.19,375.28,51.76
Width,10.28,4.60,17.53,2.16,21.04

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,13,0.56,0.07,468,0.07
7-8um,55,2.36,0.48,1979,0.44
8-9um,87,3.73,1.11,3130,1.03
0-5um,0,0.00,0.00,0.00,0.00
5-10um,272,11.65,3.69,9785,3.42
10-15um,1823,78.07,76.18,65581,71
15-20um,227,9.72,18.58,8166,17
20-25um,6,0.26,1.36,216,1.26
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,114,4.88,1.98,4101,1.84
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

