List File,TT253R2.lst
Start Time,2016-09-27  16:00:15
Sampling Time,54 sec

Count,2462
Particles / ml,106841

Efficiency,8.4%
PPUI,4.06

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),101.85,19.60,296.12,37.73,37.05
Aspect Ratio,0.75,0.37,1.00,0.12,16.55
Circle Fit,0.70,0.13,0.91,0.10,14.23
Circularity (Hu),0.90,0.48,0.99,0.07,8.13
Compactness,1.71,1.01,6.07,0.49,28.77
Diameter (ABD),11.19,5.00,19.42,2.13,19.04
Diameter (ESD),12.90,6.04,24.53,2.24,17.32
Elongation,2.95,1.00,17.03,1.68,56.93
Geodesic Aspect Ratio,0.43,0.06,1.00,0.22,51.45
Geodesic Length,20.19,6.44,63.34,5.89,29.15
Geodesic Thickness,7.72,1.64,16.31,2.10,27.15
Image Height,38.21,23.00,70.00,5.29,13.86
Image Width,37.07,24.00,63.00,4.66,12.56
Intensity,136.52,74.37,189.55,18.77,13.75
Length,15.00,6.97,30.88,2.54,16.91
Perimeter,55.81,25.76,135.62,10.81,19.36
Roughness,1.23,1.04,1.98,0.13,10.62
Sigma Intensity,40.37,2.46,57.84,9.13,22.61
Sum Intensity,68585.10,14651.00,1.91e+005,27268.83,39.76
Transparency,0.13,0.04,0.41,0.05,35.73
Volume (ABD),812.56,65.29,3833.23,451.46,55.56
Width,10.55,3.40,17.86,2.37,22.50

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,7,0.28,0.03,304,0.04
7-8um,50,2.03,0.38,2170,0.50
8-9um,63,2.56,0.68,2734,0.90
0-5um,0,0.00,0.00,0.00,0.00
5-10um,231,9.38,2.78,10025,3.64
10-15um,1811,73.56,65.76,78590,86
15-20um,407,16.53,30.27,17662,40
20-25um,6,0.24,1.06,260,1.38
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,111,4.51,1.68,4817,2.20
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

