List File,16B2.lst
Start Time,2016-08-12  14:27:25
Sampling Time,2 min 29 sec

Count,108  of  108
Particles / ml,1768

Efficiency,16.3%
PPUI,1.05

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),103.44,20.01,199.48,52.86,51.10
Aspect Ratio,0.71,0.30,0.98,0.13,18.87
Circle Fit,0.66,0.17,0.87,0.14,21.15
Circularity (Hu),0.86,0.37,0.99,0.14,16.66
Compactness,2.18,1.09,10.55,1.33,61.31
Diameter (ABD),11.00,5.05,15.94,3.29,29.93
Diameter (ESD),13.10,6.03,18.64,3.02,23.08
Elongation,4.48,1.00,31.10,4.33,96.50
Geodesic Aspect Ratio,0.37,0.03,1.00,0.24,64.25
Geodesic Length,22.38,10.11,67.30,7.64,34.14
Geodesic Thickness,7.18,1.74,14.47,3.22,44.82
Image Height,38.51,23.00,54.00,6.24,16.21
Image Width,37.57,24.00,49.00,6.45,17.16
Intensity,136.51,88.32,180.94,25.22,18.48
Length,15.37,7.18,23.11,3.42,22.26
Perimeter,59.11,29.40,138.94,14.28,24.16
Roughness,1.30,1.06,2.33,0.23,17.27
Sigma Intensity,37.50,18.99,54.75,9.60,25.61
Sum Intensity,64002.96,23409.00,1.45e+005,25550.32,39.92
Transparency,0.17,0.04,0.45,0.11,61.00
Volume (ABD),872.48,67.34,2119.36,580.40,66.52
Width,10.42,3.65,16.61,3.06,29.35

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,3,2.78,0.30,49,0.01
7-8um,4,3.70,0.62,65,0.01
8-9um,9,8.33,2.02,147,0.05
0-5um,0,0.00,0.00,0.00,0.00
5-10um,23,21.30,5.08,376,0.12
10-15um,55,50.93,47.48,900,1.14
15-20um,30,27.78,47.45,491,1.14
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,7,6.48,2.13,115,0.05
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

