List File,BB253_copy1.lst
Start Time,2016-08-12  15:57:53
Sampling Time,1 min 57 sec

Count,628  of  628
Particles / ml,13162

Efficiency,16.2%
PPUI,1.41

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),118.99,19.60,273.70,49.89,41.93
Aspect Ratio,0.71,0.27,0.99,0.12,17.28
Circle Fit,0.65,0.12,0.90,0.14,21.97
Circularity (Hu),0.88,0.41,0.99,0.10,11.57
Compactness,1.83,1.04,5.11,0.67,36.78
Diameter (ABD),12.00,5.00,18.67,2.73,22.71
Diameter (ESD),13.94,6.17,21.23,2.94,21.07
Elongation,3.35,1.00,13.98,2.26,67.53
Geodesic Aspect Ratio,0.42,0.07,1.00,0.24,57.11
Geodesic Length,22.39,6.83,49.60,7.65,34.14
Geodesic Thickness,8.00,1.84,17.57,2.62,32.79
Image Height,40.23,24.00,60.00,7.34,18.25
Image Width,38.56,23.00,66.00,5.64,14.62
Intensity,133.85,83.34,179.57,18.02,13.47
Length,16.38,7.26,28.68,3.58,21.88
Perimeter,60.79,27.33,111.04,14.20,23.36
Roughness,1.26,1.04,1.88,0.16,12.53
Sigma Intensity,38.82,10.39,63.08,8.03,20.69
Sum Intensity,75085.64,21348.00,1.87e+005,30388.90,40.47
Transparency,0.14,0.04,0.46,0.06,43.02
Volume (ABD),1041.59,65.29,3406.28,623.07,59.82
Width,11.05,4.08,18.51,2.59,23.44

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,6,0.96,0.09,126,0.02
7-8um,15,2.39,0.34,314,0.07
8-9um,20,3.18,0.61,419,0.13
0-5um,0,0.00,0.00,0.00,0.00
5-10um,65,10.35,2.15,1362,0.45
10-15um,342,54.46,41.03,7168,8.66
15-20um,209,33.28,51.81,4380,11
20-25um,11,1.75,4.95,231,1.05
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,24,3.82,1.11,503,0.23
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

