List File,CH163.lst
Start Time,2016-08-12  13:59:53
Sampling Time,3 min 8 sec

Count,50  of  50
Particles / ml,NA

Efficiency,NA
PPUI,1.07

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),39.80,19.60,124.59,23.10,58.04
Aspect Ratio,0.66,0.39,0.97,0.14,22.06
Circle Fit,0.56,0.10,0.95,0.15,27.40
Circularity (Hu),0.73,0.43,1.00,0.15,20.52
Compactness,3.21,1.04,8.68,1.68,52.27
Diameter (ABD),6.89,5.00,12.59,1.81,26.21
Diameter (ESD),9.72,6.53,20.99,2.59,26.61
Elongation,7.88,1.00,25.24,5.39,68.36
Geodesic Aspect Ratio,0.22,0.04,1.00,0.21,94.06
Geodesic Length,22.26,7.67,62.70,9.99,44.88
Geodesic Thickness,3.68,1.71,12.30,2.03,55.22
Image Height,31.74,22.00,63.00,6.35,20.01
Image Width,31.96,23.00,43.00,5.16,16.14
Intensity,164.47,91.63,185.01,19.07,11.60
Length,11.78,7.18,28.50,3.25,27.57
Perimeter,51.87,30.70,130.36,18.42,35.52
Roughness,1.45,1.14,2.00,0.24,16.29
Sigma Intensity,28.76,8.57,48.06,7.24,25.16
Sum Intensity,37619.36,24062.00,90744.00,13584.27,36.11
Transparency,0.28,0.05,0.47,0.10,33.83
Volume (ABD),209.85,65.29,1046.09,200.01,95.31
Width,7.13,4.01,12.43,2.17,30.48

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,4,8.00,2.09,0.00,0.00
7-8um,11,22.00,8.61,0.00,0.00
8-9um,7,14.00,7.11,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,31,62.00,31.09,0.00,0.00
10-15um,18,36.00,52.69,0.00,0.00
15-20um,0,0.00,0.00,0.00,0.00
20-25um,1,2.00,16.22,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,9,18.00,13.28,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

