List File,CH165.lst
Start Time,2016-08-19  12:17:25
Sampling Time,53 sec

Count,2468  of  2468
Particles / ml,108993

Efficiency,8.5%
PPUI,4.01

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),49.09,19.81,144.86,15.85,32.29
Aspect Ratio,0.83,0.35,1.00,0.08,9.76
Circle Fit,0.81,0.13,0.95,0.07,8.52
Circularity (Hu),0.96,0.49,1.00,0.03,3.34
Compactness,1.32,1.00,5.75,0.32,24.40
Diameter (ABD),7.81,5.02,13.58,1.23,15.69
Diameter (ESD),8.75,5.32,17.16,1.39,15.86
Elongation,1.69,1.00,16.01,1.07,62.93
Geodesic Aspect Ratio,0.76,0.06,1.00,0.30,39.04
Geodesic Length,11.19,5.86,35.23,3.93,35.13
Geodesic Thickness,7.42,2.20,13.32,1.65,22.26
Image Height,30.08,22.00,50.00,3.16,10.51
Image Width,29.94,21.00,55.00,2.93,9.79
Intensity,131.09,93.68,174.42,12.26,9.36
Length,9.89,5.58,22.53,1.67,16.85
Perimeter,37.22,23.42,76.89,6.47,17.39
Roughness,1.16,1.03,1.86,0.13,10.85
Sigma Intensity,28.64,3.73,50.49,12.82,44.77
Sum Intensity,36215.29,15327.00,88026.00,9211.12,25.43
Transparency,0.11,0.03,0.37,0.05,46.92
Volume (ABD),268.45,66.31,1311.54,135.60,50.51
Width,7.40,4.68,12.28,1.25,16.84

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,28,1.13,0.29,1237,0.12
6-7um,163,6.60,2.62,7198,1.08
7-8um,576,23.34,13.96,25438,5.75
8-9um,710,28.77,24.44,31355,10
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2036,82.50,67.70,89915,28
10-15um,426,17.26,31.55,18813,13
15-20um,2,0.08,0.52,88,0.21
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,542,21.96,25.86,23936,11
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

