List File,CH255R2.lst
Start Time,2016-08-19  13:18:39
Sampling Time,50 sec

Count,3106  of  3106
Particles / ml,145897

Efficiency,8.5%
PPUI,5.23

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),58.09,19.81,221.75,25.02,43.08
Aspect Ratio,0.85,0.33,1.00,0.08,9.26
Circle Fit,0.77,0.00,0.95,0.09,11.41
Circularity (Hu),0.94,0.17,1.00,0.05,5.05
Compactness,1.65,1.00,8.63,0.61,37.21
Diameter (ABD),8.41,5.02,16.80,1.80,21.38
Diameter (ESD),9.75,5.40,23.38,2.19,22.49
Elongation,2.74,1.00,25.06,2.05,74.72
Geodesic Aspect Ratio,0.52,0.04,1.00,0.29,55.79
Geodesic Length,15.62,5.94,64.19,7.14,45.71
Geodesic Thickness,6.49,1.52,14.54,1.57,24.16
Image Height,32.05,21.00,61.00,4.48,13.99
Image Width,31.66,22.00,55.00,4.17,13.16
Intensity,144.02,90.40,206.84,18.09,12.56
Length,10.93,5.74,31.68,2.52,23.02
Perimeter,44.22,23.74,135.97,12.88,29.13
Roughness,1.25,1.03,2.33,0.17,13.43
Sigma Intensity,36.15,3.13,50.82,8.06,22.29
Sum Intensity,46068.05,15193.00,1.56e+005,19104.85,41.47
Transparency,0.13,0.03,0.61,0.05,33.88
Volume (ABD),355.45,66.31,2483.97,233.61,65.72
Width,8.43,4.14,17.73,1.97,23.40

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,40,1.29,0.23,1879,0.19
6-7um,224,7.21,1.93,10522,1.58
7-8um,452,14.55,5.78,21232,4.74
8-9um,564,18.16,10.37,26493,8.50
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1798,57.89,31.33,84457,26
10-15um,1266,40.76,63.28,59467,52
15-20um,39,1.26,4.94,1832,4.05
20-25um,1,0.03,0.38,47,0.31
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,499,16.07,12.72,23439,10
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

