List File,ch162.lst
Start Time,2016-08-23  11:26:27
Sampling Time,1 min 7 sec

Count,3015  of  3016
Particles / ml,105084

Efficiency,8.5%
PPUI,3.83

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),52.73,19.60,181.83,20.58,39.04
Aspect Ratio,0.85,0.34,1.00,0.08,9.31
Circle Fit,0.78,0.09,0.95,0.08,10.04
Circularity (Hu),0.95,0.45,1.00,0.04,4.04
Compactness,1.54,1.00,6.66,0.47,30.77
Diameter (ABD),8.05,5.00,15.22,1.54,19.20
Diameter (ESD),9.26,5.29,19.46,1.87,20.13
Elongation,2.39,1.00,18.86,1.59,66.61
Geodesic Aspect Ratio,0.58,0.05,1.00,0.30,52.36
Geodesic Length,14.02,5.86,61.23,5.84,41.63
Geodesic Thickness,6.61,1.64,14.12,1.55,23.45
Image Height,31.34,23.00,52.00,4.02,12.81
Image Width,30.61,21.00,53.00,3.53,11.55
Intensity,140.23,90.32,184.76,16.65,11.87
Length,10.42,5.48,23.25,2.15,20.62
Perimeter,41.27,23.42,130.50,10.22,24.76
Roughness,1.22,1.03,2.12,0.14,11.25
Sigma Intensity,34.50,6.12,50.83,9.10,26.39
Sum Intensity,41566.93,13367.00,1.18e+005,15578.23,37.48
Transparency,0.13,0.03,0.45,0.05,35.93
Volume (ABD),303.91,65.29,1844.50,182.47,60.04
Width,7.96,3.52,14.76,1.69,21.24

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,39,1.29,0.28,1359,0.14
6-7um,258,8.56,2.76,8992,1.36
7-8um,527,17.48,8.30,18368,4.09
8-9um,618,20.50,13.96,21540,6.88
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2007,66.57,42.85,69952,21
10-15um,994,32.97,55.24,34645,27
15-20um,10,0.33,1.77,349,0.87
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,545,18.08,17.17,18995,8.46
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

