List File,BB254.lst
Start Time,2016-08-30  14:23:41
Sampling Time,1 min 2 sec

Count,2092
Particles / ml,78609

Efficiency,8.5%
PPUI,3.02

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),92.49,19.81,858.45,33.12,35.81
Aspect Ratio,0.76,0.18,1.00,0.12,15.94
Circle Fit,0.69,0.01,0.97,0.10,14.95
Circularity (Hu),0.91,0.11,1.00,0.06,7.15
Compactness,1.72,1.00,9.26,0.58,33.72
Diameter (ABD),10.71,5.02,33.06,1.74,16.26
Diameter (ESD),12.40,5.41,33.50,2.02,16.27
Elongation,3.00,1.00,27.04,1.97,65.70
Geodesic Aspect Ratio,0.47,0.04,1.00,0.28,59.87
Geodesic Length,19.54,5.97,65.08,7.01,35.86
Geodesic Thickness,7.59,1.32,29.34,2.20,28.94
Image Height,36.45,21.00,75.00,4.58,12.56
Image Width,36.84,22.00,74.00,4.62,12.53
Intensity,130.45,59.40,208.08,15.94,12.22
Length,14.25,6.28,33.76,2.26,15.86
Perimeter,54.27,23.88,148.77,11.75,21.65
Roughness,1.24,1.04,1.93,0.15,11.97
Sigma Intensity,38.99,2.88,70.25,9.88,25.35
Sum Intensity,59783.55,16868.00,1.93e+005,18075.72,30.24
Transparency,0.13,0.01,0.68,0.05,35.45
Volume (ABD),697.27,66.31,18920.56,526.35,75.49
Width,10.24,3.09,32.88,2.23,21.77

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.14,0.01,113,0.01
6-7um,13,0.62,0.08,488,0.07
7-8um,34,1.63,0.35,1278,0.30
8-9um,58,2.77,0.84,2179,0.71
0-5um,0,0.00,0.00,0.00,0.00
5-10um,201,9.61,3.14,7553,2.67
10-15um,1742,83.27,81.44,65458,69
15-20um,133,6.36,12.94,4998,11
20-25um,3,0.14,0.78,113,0.66
25-30um,1,0.05,0.52,38,0.44
30-35um,1,0.05,0.87,38,0.74
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,91,4.35,1.84,3419,1.56
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

