List File,TT251.lst
Start Time,2016-08-30  14:01:19
Sampling Time,1 min 9 sec

Count,2648
Particles / ml,90153

Efficiency,8.5%
PPUI,3.35

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),94.53,19.60,282.06,27.35,28.93
Aspect Ratio,0.75,0.20,0.99,0.12,16.56
Circle Fit,0.68,0.00,0.94,0.11,16.01
Circularity (Hu),0.90,0.34,1.00,0.06,6.98
Compactness,1.69,1.00,6.52,0.53,31.45
Diameter (ABD),10.85,5.00,18.95,1.61,14.81
Diameter (ESD),12.51,5.72,24.52,1.88,15.00
Elongation,2.86,1.00,18.41,1.83,64.04
Geodesic Aspect Ratio,0.51,0.05,1.00,0.31,60.55
Geodesic Length,19.19,6.25,57.14,7.13,37.15
Geodesic Thickness,7.95,2.16,15.42,2.40,30.19
Image Height,36.87,20.00,68.00,4.54,12.31
Image Width,36.85,22.00,63.00,4.43,12.02
Intensity,128.40,81.28,220.59,16.45,12.81
Length,14.46,6.35,31.48,2.12,14.67
Perimeter,54.29,24.98,125.35,11.42,21.04
Roughness,1.24,1.03,2.03,0.16,12.71
Sigma Intensity,36.69,5.78,58.02,10.27,28.00
Sum Intensity,60019.89,18996.00,1.71e+005,17519.23,29.19
Transparency,0.13,0.03,0.49,0.05,34.93
Volume (ABD),712.99,65.29,3563.55,310.77,43.59
Width,10.17,2.15,17.09,2.15,21.16

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.08,0.01,68,0.01
6-7um,6,0.23,0.03,204,0.03
7-8um,22,0.83,0.18,749,0.18
8-9um,70,2.64,0.80,2383,0.79
0-5um,0,0.00,0.00,0.00,0.00
5-10um,215,8.12,2.82,7320,2.78
10-15um,2243,84.71,82.09,76364,81
15-20um,179,6.76,13.34,6094,13
20-25um,8,0.30,1.57,272,1.55
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,113,4.27,1.78,3847,1.76
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

