List File,CH251-R2.lst
Start Time,2016-09-02  15:05:29
Sampling Time,46 sec

Count,2946
Particles / ml,148865

Efficiency,8.4%
PPUI,5.54

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),49.88,19.60,236.41,21.05,42.20
Aspect Ratio,0.85,0.24,1.00,0.09,10.10
Circle Fit,0.78,0.00,0.95,0.09,11.71
Circularity (Hu),0.94,0.20,1.00,0.06,6.50
Compactness,1.58,1.00,13.02,0.68,42.66
Diameter (ABD),7.81,5.00,17.35,1.59,20.38
Diameter (ESD),9.06,5.27,30.01,1.99,21.94
Elongation,2.52,1.00,38.89,2.23,88.48
Geodesic Aspect Ratio,0.56,0.03,1.00,0.29,51.35
Geodesic Length,13.98,5.81,83.52,6.28,44.91
Geodesic Thickness,6.41,1.26,13.55,1.56,24.30
Image Height,30.82,19.00,70.00,4.15,13.48
Image Width,30.41,21.00,83.00,3.81,12.54
Intensity,142.18,89.75,190.09,17.19,12.09
Length,10.18,5.58,41.31,2.38,23.33
Perimeter,40.78,23.23,174.78,11.26,27.62
Roughness,1.22,1.03,2.13,0.14,11.73
Sigma Intensity,36.41,7.36,50.71,7.77,21.34
Sum Intensity,40122.81,15044.00,1.67e+005,15399.36,38.38
Transparency,0.13,0.03,0.59,0.05,38.41
Volume (ABD),281.74,65.29,2734.33,189.15,67.14
Width,7.81,4.14,20.79,1.73,22.13

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,48,1.63,0.35,2426,0.23
6-7um,320,10.86,3.57,16170,2.40
7-8um,615,20.88,10.29,31077,6.91
8-9um,567,19.25,13.76,28651,9.25
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2083,70.71,45.57,105257,31
10-15um,836,28.38,48.35,42244,33
15-20um,16,0.54,2.80,809,1.88
20-25um,5,0.17,2.06,253,1.38
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,0.03,1.06,51,0.72
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,517,17.55,17.31,26125,12
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

