List File,TT161-R2.lst
Start Time,2016-09-02  13:46:19
Sampling Time,36 sec

Count,1154
Particles / ml,74487

Efficiency,8.6%
PPUI,3.27

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),121.03,20.63,370.22,34.14,28.21
Aspect Ratio,0.74,0.33,0.99,0.13,17.30
Circle Fit,0.68,0.00,0.92,0.09,13.66
Circularity (Hu),0.91,0.46,1.00,0.06,6.71
Compactness,1.68,1.01,4.49,0.39,23.15
Diameter (ABD),12.28,5.12,21.71,1.78,14.53
Diameter (ESD),14.09,6.44,30.12,1.99,14.15
Elongation,2.87,1.00,12.03,1.38,48.13
Geodesic Aspect Ratio,0.44,0.08,1.00,0.23,52.07
Geodesic Length,21.71,7.55,60.26,6.35,29.23
Geodesic Thickness,8.36,3.28,14.74,2.09,24.98
Image Height,39.80,25.00,57.00,5.15,12.94
Image Width,39.71,25.00,83.00,4.66,11.75
Intensity,127.36,79.42,180.91,16.64,13.07
Length,16.46,6.98,39.64,2.35,14.26
Perimeter,60.15,30.19,135.78,10.90,18.12
Roughness,1.22,1.03,1.89,0.13,10.25
Sigma Intensity,40.95,19.95,58.03,8.67,21.17
Sum Intensity,73624.80,17686.00,2.25e+005,23679.47,32.16
Transparency,0.13,0.04,0.28,0.04,28.97
Volume (ABD),1031.39,70.47,5358.62,437.19,42.39
Width,11.43,4.40,17.79,2.26,19.76

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,4,0.35,0.04,258,0.04
7-8um,5,0.43,0.06,323,0.06
8-9um,3,0.26,0.06,194,0.07
0-5um,0,0.00,0.00,0.00,0.00
5-10um,27,2.34,0.52,1743,0.60
10-15um,762,66.03,53.30,49185,62
15-20um,358,31.02,43.88,23108,51
20-25um,5,0.43,1.40,323,1.62
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,0.09,0.80,65,0.92
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,15,1.30,0.37,968,0.43
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

