List File,CONT25.lst
Start Time,2016-09-13  17:45:20
Sampling Time,50 sec

Count,2306
Particles / ml,107064

Efficiency,8.6%
PPUI,4.10

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),102.28,19.81,265.63,32.85,32.11
Aspect Ratio,0.75,0.26,0.99,0.13,16.91
Circle Fit,0.68,0.00,0.95,0.11,16.82
Circularity (Hu),0.90,0.31,1.00,0.07,7.58
Compactness,1.72,1.00,4.94,0.51,29.51
Diameter (ABD),11.25,5.02,18.39,1.94,17.21
Diameter (ESD),13.03,5.29,25.99,2.26,17.38
Elongation,3.00,1.00,13.44,1.75,58.13
Geodesic Aspect Ratio,0.46,0.07,1.00,0.27,58.52
Geodesic Length,20.59,5.86,60.48,7.21,35.00
Geodesic Thickness,7.80,2.18,15.37,2.16,27.76
Image Height,37.88,23.00,76.00,5.19,13.69
Image Width,37.70,23.00,65.00,5.02,13.32
Intensity,131.29,74.23,189.90,16.13,12.28
Length,15.06,5.58,35.05,2.66,17.66
Perimeter,56.77,23.42,132.65,12.53,22.07
Roughness,1.27,1.04,1.99,0.16,12.76
Sigma Intensity,38.60,4.70,57.31,8.78,22.75
Sum Intensity,65598.68,16105.00,1.62e+005,21282.38,32.44
Transparency,0.14,0.03,0.48,0.04,31.98
Volume (ABD),808.86,66.31,3256.62,374.56,46.31
Width,10.67,3.45,16.99,2.34,21.91

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,8,0.35,0.02,371,0.03
6-7um,19,0.82,0.10,882,0.13
7-8um,49,2.12,0.38,2275,0.51
8-9um,82,3.56,0.93,3807,1.25
0-5um,0,0.00,0.00,0.00,0.00
5-10um,247,10.71,2.81,11468,3.79
10-15um,1718,74.50,71.09,79764,96
15-20um,325,14.09,23.76,15089,32
20-25um,10,0.43,1.84,464,2.49
25-30um,1,0.04,0.32,46,0.43
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,87,3.77,1.35,4039,1.83
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

