List File,CONT16R2.lst
Start Time,2016-09-16  12:22:17
Sampling Time,1 min 6 sec

Count,2115
Particles / ml,74650

Efficiency,8.5%
PPUI,3.01

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),120.01,20.83,335.78,34.65,28.87
Aspect Ratio,0.77,0.36,0.99,0.12,16.23
Circle Fit,0.69,0.03,0.92,0.10,14.17
Circularity (Hu),0.91,0.32,1.00,0.06,6.65
Compactness,1.77,1.03,7.59,0.52,29.61
Diameter (ABD),12.22,5.15,20.68,1.86,15.19
Diameter (ESD),14.08,6.45,25.56,2.14,15.17
Elongation,3.18,1.00,21.79,1.79,56.25
Geodesic Aspect Ratio,0.41,0.05,1.00,0.22,54.77
Geodesic Length,22.72,7.11,62.46,7.20,31.70
Geodesic Thickness,8.00,1.75,15.13,2.02,25.29
Image Height,39.60,25.00,67.00,5.07,12.81
Image Width,39.87,23.00,68.00,4.91,12.31
Intensity,128.81,80.24,207.20,17.04,13.23
Length,16.25,7.47,32.45,2.49,15.34
Perimeter,61.44,27.84,132.84,12.53,20.39
Roughness,1.26,1.03,2.98,0.16,12.38
Sigma Intensity,41.63,5.85,58.29,7.31,17.57
Sum Intensity,73898.59,20105.00,2.01e+005,23648.99,32.00
Transparency,0.13,0.04,0.50,0.04,31.25
Volume (ABD),1020.25,71.52,4628.64,434.19,42.56
Width,11.72,4.12,21.63,2.30,19.58

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,5,0.24,0.02,176,0.03
7-8um,14,0.66,0.10,494,0.11
8-9um,31,1.47,0.30,1094,0.35
0-5um,0,0.00,0.00,0.00,0.00
5-10um,96,4.54,1.06,3388,1.23
10-15um,1316,62.22,50.72,46449,59
15-20um,684,32.34,45.36,24142,53
20-25um,12,0.57,2.28,424,2.66
25-30um,1,0.05,0.26,35,0.31
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,46,2.17,0.64,1624,0.74
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

