List File,CH165_R2.lst
Start Time,2016-09-20  17:09:54
Sampling Time,51 sec

Count,3578
Particles / ml,166335

Efficiency,8.5%
PPUI,5.98

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),47.02,19.60,140.73,16.67,35.45
Aspect Ratio,0.84,0.40,1.00,0.08,9.36
Circle Fit,0.81,0.20,0.95,0.08,9.31
Circularity (Hu),0.95,0.52,1.00,0.04,3.91
Compactness,1.33,1.00,6.53,0.34,25.15
Diameter (ABD),7.62,5.00,13.39,1.32,17.29
Diameter (ESD),8.56,5.26,17.12,1.48,17.35
Elongation,1.75,1.00,18.44,1.11,63.37
Geodesic Aspect Ratio,0.74,0.05,1.00,0.30,40.33
Geodesic Length,11.15,5.86,42.05,4.06,36.41
Geodesic Thickness,7.19,2.28,13.00,1.68,23.33
Image Height,29.62,22.00,51.00,3.27,11.02
Image Width,29.69,23.00,51.00,3.04,10.25
Intensity,130.64,92.04,197.50,13.56,10.38
Length,9.65,5.58,22.13,1.75,18.10
Perimeter,36.67,23.42,88.67,6.86,18.72
Roughness,1.15,1.02,1.84,0.11,9.98
Sigma Intensity,28.37,3.35,52.13,11.98,42.22
Sum Intensity,34670.31,14458.00,85365.00,8820.35,25.44
Transparency,0.11,0.03,0.35,0.05,47.98
Volume (ABD),253.57,65.29,1255.92,139.40,54.97
Width,7.27,3.93,12.99,1.35,18.58

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,51,1.43,0.39,2371,0.23
6-7um,418,11.68,4.95,19432,2.95
7-8um,950,26.55,16.40,44164,9.79
8-9um,861,24.06,21.36,40026,13
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2953,82.53,65.98,137280,39
10-15um,613,17.13,32.47,28497,19
15-20um,8,0.22,1.39,372,0.83
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,647,18.08,22.32,30078,13
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

