List File,CH255.lst
Start Time,2016-09-20 16:29
Sampling Time,1 min 7 sec
Count,3194
Particles / ml,111741
Efficiency,8.50%
PPUI,4.04
Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),73.09,19.6,193.94,27.34,37.4
Aspect Ratio,0.79,0.39,1,0.12,15.44
Circle Fit,0.74,0.12,0.95,0.11,15.37
Circularity (Hu),0.92,0.54,1,0.06,6.2
Compactness,1.54,1,5.28,0.47,30.25
Diameter (ABD),9.46,5,15.71,1.87,19.79
Diameter (ESD),10.83,5.58,20.98,2.27,20.92
Elongation,2.38,1,14.51,1.6,67.16
Geodesic Aspect Ratio,0.61,0.07,1,0.32,53.56
Geodesic Length,15.72,6.13,47.74,6.65,42.3
Geodesic Thickness,7.65,2.53,14.22,2.11,27.62
Image Height,33.77,23,57,4.83,14.32
Image Width,33.81,21,58,4.72,13.96
Intensity,129.58,81.45,188.78,14.57,11.24
Length,12.38,5.98,25.16,2.71,21.91
Perimeter,46.75,24.53,105.78,11.56,24.72
Roughness,1.21,1.03,1.87,0.15,12.24
Sigma Intensity,33.16,3.91,57.45,11.3,34.08
Sum Intensity,49047.56,14586,1.12E+05,16985.86,34.63
Transparency,0.12,0.03,0.31,0.05,37.54
Volume (ABD),495.03,65.29,2031.66,265.72,53.68
Width,8.98,2.98,16.51,2.08,23.2
Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0,0,0,0
3-4um,0,0,0,0,0
4-5um,0,0,0,0,0
5-6um,26,0.81,0.11,910,0.09
6-7um,163,5.1,1.01,5702,0.85
7-8um,254,7.95,2.37,8886,1.99
8-9um,297,9.3,4.01,10390,3.37
0-5um,0,0,0,0,0
5-10um,1066,33.38,13.44,37294,11
10-15um,2069,64.78,81.89,72383,69
15-20um,47,1.47,4.12,1644,3.46
20-25um,1,0.03,0.2,35,0.17
25-30um,0,0,0,0,0
30-35um,0,0,0,0,0
35-40um,0,0,0,0,0
40-45um,0,0,0,0,0
45-50um,0,0,0,0,0
50-55um,0,0,0,0,0
55-60um,0,0,0,0,0
60-65um,0,0,0,0,0
65-70um,0,0,0,0,0
75-80um,0,0,0,0,0
80-85um,0,0,0,0,0
85-90um,0,0,0,0,0
90-95um,0,0,0,0,0
95-100um,0,0,0,0,0
9-10um,311,9.74,5.75,10880,4.83
1-2um,0,0,0,0,0
0-1um,0,0,0,0,0
