List File,CH253R2.lst
Start Time,2016-09-27  15:36:47
Sampling Time,56 sec

Count,3666
Particles / ml,154969

Efficiency,8.4%
PPUI,5.77

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),53.52,19.81,210.86,23.54,43.99
Aspect Ratio,0.86,0.35,1.00,0.08,9.25
Circle Fit,0.77,0.04,0.96,0.08,10.77
Circularity (Hu),0.94,0.25,1.00,0.04,4.57
Compactness,1.62,1.00,8.68,0.49,30.38
Diameter (ABD),8.07,5.02,16.39,1.73,21.43
Diameter (ESD),9.38,5.91,19.55,2.07,22.04
Elongation,2.63,1.00,25.22,1.68,63.99
Geodesic Aspect Ratio,0.52,0.04,1.00,0.28,53.38
Geodesic Length,14.91,6.39,49.52,6.26,41.99
Geodesic Thickness,6.34,1.54,13.13,1.52,24.03
Image Height,31.42,22.00,59.00,4.27,13.58
Image Width,30.99,22.00,57.00,3.90,12.57
Intensity,145.20,91.63,197.72,16.83,11.59
Length,10.50,6.28,24.68,2.37,22.55
Perimeter,42.49,25.57,107.08,11.36,26.74
Roughness,1.24,1.03,2.18,0.15,12.13
Sigma Intensity,37.62,3.98,50.75,7.09,18.84
Sum Intensity,43314.08,16848.00,1.37e+005,17394.22,40.16
Transparency,0.14,0.03,0.57,0.04,31.18
Volume (ABD),314.95,66.31,2303.28,215.35,68.38
Width,8.12,4.14,15.31,1.87,22.99

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.03,0.01,42,0.00
6-7um,382,10.42,3.19,16148,2.41
7-8um,677,18.47,8.43,28618,6.38
8-9um,678,18.49,12.20,28660,9.24
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2339,63.80,38.60,98874,29
10-15um,1216,33.17,56.71,51403,43
15-20um,36,0.98,4.57,1522,3.47
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,576,15.71,14.37,24349,11
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

