List File,BB163_R2.lst
Start Time,2016-09-30  09:55:16
Sampling Time,45 sec

Count,377
Particles / ml,19489

Efficiency,8.7%
PPUI,1.49

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),116.24,20.83,314.83,43.19,37.15
Aspect Ratio,0.74,0.40,0.98,0.13,17.75
Circle Fit,0.69,0.31,0.87,0.10,15.00
Circularity (Hu),0.90,0.36,0.99,0.08,8.75
Compactness,1.68,1.11,6.49,0.52,30.67
Diameter (ABD),11.96,5.15,20.02,2.24,18.76
Diameter (ESD),13.73,7.01,23.20,2.35,17.09
Elongation,2.85,1.00,18.33,1.75,61.48
Geodesic Aspect Ratio,0.45,0.05,1.00,0.22,49.88
Geodesic Length,21.05,7.50,61.98,6.67,31.70
Geodesic Thickness,8.27,1.94,16.23,2.06,24.94
Image Height,39.88,26.00,57.00,5.65,14.18
Image Width,38.35,24.00,55.00,4.97,12.95
Intensity,134.77,84.03,183.51,18.01,13.36
Length,16.03,8.69,28.09,2.58,16.11
Perimeter,58.63,30.00,133.11,12.30,20.98
Roughness,1.23,1.05,1.90,0.14,11.08
Sigma Intensity,39.58,17.89,55.89,9.35,23.61
Sum Intensity,75825.95,17964.00,2.03e+005,31266.03,41.23
Transparency,0.13,0.05,0.51,0.05,39.63
Volume (ABD),990.33,71.52,4202.23,562.67,56.82
Width,11.13,4.65,19.96,2.64,23.73

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,0.53,0.07,103,0.02
8-9um,4,1.06,0.24,207,0.07
0-5um,0,0.00,0.00,0.00,0.00
5-10um,18,4.77,1.30,931,0.37
10-15um,264,70.03,55.70,13647,16
15-20um,90,23.87,38.45,4653,11
20-25um,5,1.33,4.55,258,1.31
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,12,3.18,0.99,620,0.29
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

