List File,BB162.lst
Start Time,2016-10-04  10:07:33
Sampling Time,1 min 3 sec

Count,690
Particles / ml,25387

Efficiency,8.5%
PPUI,1.54

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),122.93,22.28,257.83,41.59,33.83
Aspect Ratio,0.77,0.39,0.99,0.12,15.02
Circle Fit,0.72,0.36,0.92,0.09,12.81
Circularity (Hu),0.92,0.56,1.00,0.06,6.52
Compactness,1.66,1.02,6.04,0.39,23.77
Diameter (ABD),12.33,5.33,18.12,2.13,17.29
Diameter (ESD),14.03,7.34,20.36,2.21,15.74
Elongation,2.79,1.00,16.91,1.38,49.28
Geodesic Aspect Ratio,0.44,0.06,1.00,0.22,49.57
Geodesic Length,21.47,7.94,46.16,5.73,26.70
Geodesic Thickness,8.48,1.99,18.12,2.16,25.52
Image Height,39.99,25.00,58.00,5.36,13.41
Image Width,39.32,25.00,55.00,4.58,11.64
Intensity,136.56,85.37,182.66,17.88,13.09
Length,16.12,8.03,24.23,2.54,15.73
Perimeter,59.91,31.75,104.22,10.50,17.52
Roughness,1.25,1.04,1.89,0.14,10.95
Sigma Intensity,41.14,18.69,60.34,7.88,19.15
Sum Intensity,80403.69,20082.00,1.75e+005,30507.63,37.94
Transparency,0.12,0.04,0.42,0.04,34.19
Volume (ABD),1068.84,79.12,3114.35,540.50,50.57
Width,11.67,3.97,18.17,2.29,19.61

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,4,0.58,0.09,147,0.03
8-9um,9,1.30,0.28,331,0.11
0-5um,0,0.00,0.00,0.00,0.00
5-10um,32,4.64,1.14,1177,0.45
10-15um,451,65.36,52.06,16593,21
15-20um,203,29.42,45.89,7469,18
20-25um,1,0.14,0.41,37,0.16
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,19,2.75,0.77,699,0.30
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

