List File,BB161.lst
Start Time,2016-10-04 10:04
Sampling Time,1 min 4 sec
Count,803
Particles / ml,29047
Efficiency,8.50%
PPUI,1.62
Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),126.72,19.6,301.54,45.01,35.52
Aspect Ratio,0.76,0.4,0.99,0.11,14.68
Circle Fit,0.71,0.22,0.91,0.09,12.9
Circularity (Hu),0.92,0.43,0.99,0.06,6.71
Compactness,1.68,1.05,5.86,0.46,27.08
Diameter (ABD),12.5,5,19.59,2.27,18.19
Diameter (ESD),14.23,6.8,25.45,2.39,16.76
Elongation,2.86,1,16.36,1.57,54.9
Geodesic Aspect Ratio,0.44,0.06,1,0.23,51.4
Geodesic Length,21.92,7.97,80.03,6.67,30.42
Geodesic Thickness,8.56,2.03,16.16,2.31,26.95
Image Height,40.34,25,68,5.81,14.4
Image Width,39.63,22,66,4.89,12.33
Intensity,136.86,83.49,186.28,19.11,13.97
Length,16.39,8.62,29.85,2.73,16.64
Perimeter,60.96,30.19,169.85,12.24,20.08
Roughness,1.25,1.04,2.36,0.14,11.4
Sigma Intensity,40.83,14.45,57.26,8.03,19.66
Sum Intensity,82662.24,23133,2.20E+05,32746.62,39.61
Transparency,0.12,0.04,0.44,0.04,36.22
Volume (ABD),1123.12,65.29,3938.89,600.35,53.45
Width,11.8,4.07,19.45,2.43,20.58
Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0,0,0,0
3-4um,0,0,0,0,0
4-5um,0,0,0,0,0
5-6um,0,0,0,0,0
6-7um,1,0.12,0.01,36,0.01
7-8um,4,0.5,0.07,145,0.03
8-9um,13,1.62,0.34,470,0.16
0-5um,0,0,0,0,0
5-10um,35,4.36,0.98,1266,0.47
10-15um,499,62.14,47.43,18051,23
15-20um,259,32.25,47.55,9369,23
20-25um,8,1,3.26,289,1.55
25-30um,1,0.12,0.66,36,0.31
30-35um,0,0,0,0,0
35-40um,0,0,0,0,0
40-45um,0,0,0,0,0
45-50um,0,0,0,0,0
50-55um,0,0,0,0,0
55-60um,0,0,0,0,0
60-65um,0,0,0,0,0
65-70um,0,0,0,0,0
75-80um,0,0,0,0,0
80-85um,0,0,0,0,0
85-90um,0,0,0,0,0
90-95um,0,0,0,0,0
95-100um,0,0,0,0,0
9-10um,16,1.99,0.54,579,0.26
1-2um,0,0,0,0,0
0-1um,0,0,0,0,0
