List File,TT255_R4.lst
Start Time,2016-10-04  12:04:55
Sampling Time,1 min 1 sec

Count,1936
Particles / ml,73935

Efficiency,8.5%
PPUI,2.86

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),99.96,19.81,248.71,40.98,40.99
Aspect Ratio,0.75,0.34,0.99,0.13,17.29
Circle Fit,0.70,0.18,0.90,0.11,15.66
Circularity (Hu),0.88,0.30,0.99,0.14,16.35
Compactness,1.96,1.05,9.92,1.19,60.74
Diameter (ABD),11.01,5.02,17.80,2.45,22.21
Diameter (ESD),12.88,6.22,22.80,2.22,17.26
Elongation,3.76,1.00,29.14,3.87,102.84
Geodesic Aspect Ratio,0.41,0.03,1.00,0.23,55.03
Geodesic Length,20.87,6.67,61.40,6.07,29.10
Geodesic Thickness,7.50,1.26,16.00,2.53,33.78
Image Height,38.05,24.00,69.00,4.96,13.05
Image Width,37.07,23.00,62.00,5.08,13.69
Intensity,141.14,80.41,188.95,21.25,15.06
Length,14.93,7.32,30.88,2.43,16.30
Perimeter,56.74,26.68,133.76,10.52,18.54
Roughness,1.26,1.04,2.21,0.17,13.63
Sigma Intensity,38.36,2.43,57.20,12.09,31.53
Sum Intensity,68861.37,13443.00,1.74e+005,28221.57,40.98
Transparency,0.15,0.05,0.51,0.09,57.55
Volume (ABD),799.89,66.31,2950.58,470.01,58.76
Width,10.53,3.28,18.84,2.46,23.38

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,0.10,0.01,76,0.01
7-8um,20,1.03,0.19,764,0.17
8-9um,57,2.94,0.80,2177,0.72
0-5um,0,0.00,0.00,0.00,0.00
5-10um,208,10.74,3.56,7943,3.21
10-15um,1397,72.16,65.11,53351,59
15-20um,319,16.48,29.87,12182,27
20-25um,6,0.31,1.31,229,1.18
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,127,6.56,2.53,4850,2.28
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

