DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc
0,13,0,15,4,89,3.566666667
0,13,1,15,6,30,3.6
0,13,2,15,11,127,3.683333333
0,13,3,15,15,61,3.75
0,13,4,15,17,270,3.783333333
0,13,5,15,20,102,3.833333333
0,13,6,15,22,81,3.866666667
0,13,8,15,26,498,3.933333333
0,16,0,15,30,60,4
0,16,1,15,32,59,4.033333333
0,16,2,15,34,90,4.066666667
0,16,3,15,37,154,4.116666667
0,16,4,15,39,60,4.15
0,16,5,15,41,59,4.183333333
0,16,6,15,43,60,4.216666667
0,16,8,15,46,181,4.266666667
0,19,0,15,53,86,4.383333333
0,19,1,15,55,0,4.416666667
0,19,2,15,58,82,4.466666667
0,19,3,16,0,204,4.5
0,19,4,16,2,0,4.533333333
0,19,5,16,5,75,4.583333333
0,19,6,16,7,31,4.616666667
0,19,8,16,11,30,4.683333333
0,22,0,16,19,123,4.816666667
0,22,1,16,21,92,4.85
0,22,2,16,24,147,4.9
0,22,3,16,26,122,4.933333333
0,22,4,16,28,120,4.966666667
0,22,5,16,30,110,5
0,22,6,16,33,27,5.05
0,22,7,16,35,92,5.083333333
0,22,8,16,37,90,5.116666667
0,25,0,16,42,133,5.2
0,25,1,16,45,213,5.25
0,25,2,16,47,353,5.283333333
0,25,3,16,49,197,5.316666667
0,25,4,16,52,266,5.366666667
0,25,5,16,54,60,5.4
0,25,6,16,56,146,5.433333333
0,25,7,16,58,396,5.466666667
0,25,8,17,0,30,5.5
0,28,0,17,7,156,5.616666667
0,28,1,17,9,121,5.65
0,28,2,17,11,154,5.683333333
0,28,3,17,13,320,5.716666667
0,28,4,17,16,154,5.766666667
0,28,5,17,18,87,5.8
0,28,6,17,20,124,5.833333333
0,28,7,17,23,167,5.883333333
0,28,8,17,25,122,5.916666667
1,25,0,15,57,459,28.45
1,25,1,16,1,465,28.51666667
1,25,2,16,3,306,28.55
1,25,3,16,5,390,28.58333333
1,25,4,16,8,337,28.63333333
1,25,5,16,10,184,28.66666667
1,25,6,16,12,245,28.7
1,25,7,16,14,471,28.73333333
1,25,8,16,16,366,28.76666667
1,28,0,15,55,802,28.41666667
1,28,1,16,23,436,28.88333333
1,28,2,16,25,318,28.91666667
1,28,3,16,27,808,28.95
1,28,4,16,29,699,28.98333333
1,28,5,16,31,401,29.01666667
1,28,6,16,34,382,29.06666667
1,28,7,16,36,370,29.1
1,28,8,16,38,525,29.13333333
1,13,0,10,27,276,22.95
1,13,1,11,52,399,24.36666667
1,13,2,11,54,304,24.4
1,13,3,11,56,546,24.43333333
1,13,4,11,58,305,24.46666667
1,13,5,12,0,207,24.5
1,13,6,12,3,469,24.55
1,13,8,12,5,359,24.58333333
1,16,0,10,30,494,23
1,16,1,12,9,785,24.65
1,16,2,12,12,573,24.7
1,16,3,12,14,408,24.73333333
1,16,4,12,16,374,24.76666667
1,16,5,12,18,296,24.8
1,16,6,12,21,152,24.85
1,16,8,12,23,244,24.88333333
1,19,0,10,32,31,23.03333333
1,19,1,12,28,1381,24.96666667
1,19,2,12,30,185,25
1,19,3,12,32,371,25.03333333
1,19,4,12,34,120,25.06666667
1,19,5,12,37,84,25.11666667
1,19,6,12,40,206,25.16666667
1,19,8,12,43,183,25.21666667
1,22,0,10,34,92,23.06666667
1,22,1,10,45,117,23.25
1,22,2,10,47,0,23.28333333
1,22,3,10,50,56,23.33333333
1,22,4,10,52,121,23.36666667
1,22,5,10,54,60,23.4
1,22,6,10,57,31,23.45
1,22,7,10,59,31,23.48333333
1,22,8,11,1,89,23.51666667
1,25,0,10,36,201,23.1
1,25,1,11,7,320,23.61666667
1,25,2,11,9,151,23.65
1,25,3,11,12,487,23.7
1,25,4,11,14,401,23.73333333
1,25,5,11,16,506,23.76666667
1,25,6,11,18,538,23.8
1,25,7,11,21,614,23.85
1,25,8,11,25,153,23.91666667
1,28,0,10,38,580,23.13333333
1,28,1,11,32,610,24.03333333
1,28,2,11,34,975,24.06666667
1,28,3,11,36,457,24.1
1,28,4,11,38,691,24.13333333
1,28,5,11,40,710,24.16666667
1,28,6,11,42,214,24.2
1,28,7,11,45,439,24.25
1,28,8,11,47,1000,24.28333333
2,22,0,15,27,1713,51.95
2,22,1,15,37,1389,52.11666667
2,22,2,15,39,1101,52.15
2,22,3,15,41,1163,52.18333333
2,22,4,15,43,1390,52.21666667
2,22,5,15,45,1385,52.25
2,22,6,15,47,660,52.28333333
2,22,7,15,50,2460,52.33333333
2,22,8,15,52,1761,52.36666667
2,25,0,15,33,1895,52.05
2,25,1,16,0,1132,52.5
2,25,2,16,2,1127,52.53333333
2,25,3,16,4,1258,52.56666667
2,25,4,16,6,1509,52.6
2,25,5,16,8,1289,52.63333333
2,25,6,16,10,1232,52.66666667
2,25,7,16,14,3396,52.73333333
2,25,8,16,18,1541,52.8
2,28,0,15,35,1800,52.08333333
2,28,1,16,26,1232,52.93333333
2,28,2,16,28,1891,52.96666667
2,28,3,16,31,2295,53.01666667
2,28,4,16,33,1476,53.05
2,28,5,16,35,1728,53.08333333
2,28,6,16,37,1696,53.11666667
2,28,7,16,39,1356,53.15
2,28,8,16,41,2678,53.18333333
2,13,0,9,19,864,45.81666667
2,13,1,11,33,896,48.05
2,13,2,11,35,521,48.08333333
2,13,3,11,38,536,48.13333333
2,13,4,11,40,337,48.16666667
2,13,5,11,42,302,48.2
2,13,6,11,44,179,48.23333333
2,13,8,11,46,715,48.26666667
2,16,0,9,22,245,45.86666667
2,16,1,11,58,224,48.46666667
2,16,2,12,0,326,48.5
2,16,3,12,3,395,48.55
2,16,4,12,5,183,48.58333333
2,16,5,12,7,340,48.61666667
2,16,6,12,9,184,48.65
2,16,8,12,11,283,48.68333333
2,19,0,9,24,515,45.9
