DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc
0,13,0,19,26,432,7.933333333
0,13,1,19,39,551,8.15
0,13,2,19,42,610,8.2
0,13,3,19,44,831,8.233333333
0,13,4,19,46,527,8.266666667
0,13,5,19,48,704,8.3
0,13,6,19,51,826,8.35
0,13,7,19,53,664,8.383333333
0,13,8,19,55,936,8.416666667
0,16,0,19,28,606,7.966666667
0,16,1,20,0,489,8.5
0,16,2,20,2,273,8.533333333
0,16,3,20,4,489,8.566666667
0,16,4,20,6,857,8.6
0,16,5,20,9,864,8.65
0,16,6,20,12,795,8.7
0,16,7,20,14,518,8.733333333
0,16,8,20,17,799,8.783333333
0,19,0,19,30,177,8
0,19,1,20,22,307,8.866666667
0,19,2,20,24,399,8.9
0,19,3,20,26,369,8.933333333
0,19,4,20,28,372,8.966666667
0,19,5,20,30,357,9
0,19,6,20,32,278,9.033333333
0,19,7,20,35,188,9.083333333
0,19,8,20,37,371,9.116666667
0,22,0,19,33,186,8.05
0,22,1,20,42,122,9.2
0,22,2,20,45,62,9.25
0,22,3,20,47,216,9.283333333
0,22,4,20,49,166,9.316666667
0,22,5,20,51,152,9.35
0,22,6,20,53,214,9.383333333
0,22,7,20,55,306,9.416666667
0,22,8,20,57,61,9.45
0,25,0,19,35,124,8.083333333
0,25,1,21,2,28,9.533333333
0,25,2,21,5,0,9.583333333
0,25,3,21,7,154,9.616666667
0,25,4,21,9,63,9.65
0,25,5,21,12,387,9.7
0,25,6,21,14,185,9.733333333
0,25,7,21,16,369,9.766666667
0,25,8,21,18,556,9.8
0,28,0,19,37,31,8.116666667
0,28,1,21,23,124,9.883333333
0,28,2,21,25,198,9.916666667
0,28,3,21,27,374,9.95
0,28,4,21,29,93,9.983333333
0,28,5,21,31,525,10.01666667
0,28,6,21,33,549,10.05
0,28,7,21,35,343,10.08333333
0,28,8,21,37,343,10.11666667
1,25,0,10,43,1644,23.21666667
1,25,1,11,16,884,23.76666667
1,25,2,11,18,626,23.8
1,25,3,11,21,511,23.85
1,25,4,11,23,527,23.88333333
1,25,5,11,25,1411,23.91666667
1,25,6,11,29,1342,23.98333333
1,25,7,11,32,1375,24.03333333
1,25,8,11,34,1310,24.06666667
1,28,0,10,45,778,23.25
1,28,1,11,50,982,24.33333333
1,28,2,11,53,506,24.38333333
1,28,3,11,55,1316,24.41666667
1,28,4,11,58,551,24.46666667
1,28,5,12,0,2275,24.5
1,28,6,12,5,2478,24.58333333
1,28,7,12,7,1276,24.61666667
1,28,8,12,9,1093,24.65
1,13,0,10,33,351,23.05
1,13,1,12,13,336,24.71666667
1,13,2,12,15,316,24.75
1,13,3,12,18,799,24.8
1,13,4,12,20,202,24.83333333
1,13,5,12,22,274,24.86666667
1,13,6,12,24,609,24.9
1,13,7,12,26,366,24.93333333
1,13,8,12,28,727,24.96666667
1,16,0,10,36,841,23.1
1,16,1,12,35,394,25.08333333
1,16,2,12,37,427,25.11666667
1,16,3,12,39,205,25.15
1,16,4,12,41,149,25.18333333
1,16,5,12,44,416,25.23333333
1,16,6,12,46,428,25.26666667
1,16,7,12,52,363,25.36666667
1,16,8,12,54,744,25.4
1,19,0,10,38,489,23.13333333
1,19,1,13,3,246,25.55
1,19,2,13,5,173,25.58333333
1,19,3,13,8,331,25.63333333
1,19,4,13,10,186,25.66666667
1,19,5,13,12,183,25.7
1,19,6,13,14,447,25.73333333
1,19,7,13,16,351,25.76666667
1,19,8,13,18,273,25.8
1,22,0,10,40,514,23.16666667
1,22,1,10,51,799,23.35
1,22,2,10,53,628,23.38333333
1,22,3,10,55,372,23.41666667
1,22,4,10,57,497,23.45
1,22,5,10,59,988,23.48333333
1,22,6,11,1,708,23.51666667
1,22,7,11,4,872,23.56666667
1,22,8,11,11,1338,23.68333333
1,25,0,15,23,1712,27.88333333
1,25,1,15,25,590,27.91666667
1,25,2,15,34,1201,28.06666667
1,25,3,15,36,2621,28.1
1,25,4,15,38,2903,28.13333333
1,25,5,15,40,3225,28.16666667
1,25,6,15,42,2244,28.2
1,25,7,15,45,3238,28.25
1,25,8,15,47,2453,28.28333333
1,28,0,15,32,1033,28.03333333
1,28,1,15,51,146,28.35
1,28,2,15,54,206,28.4
1,28,3,15,56,447,28.43333333
1,28,4,15,59,691,28.48333333
1,28,5,16,1,506,28.51666667
1,28,6,16,3,601,28.55
1,28,7,16,5,1117,28.58333333
1,28,8,16,7,1301,28.61666667
2,22,0,10,7,3904,46.61666667
2,22,1,10,15,3687,46.75
2,22,2,10,17,3571,46.78333333
2,22,3,10,20,3905,46.83333333
2,22,4,10,22,2893,46.86666667
2,22,5,10,24,4473,46.9
2,22,6,10,26,3710,46.93333333
2,22,7,10,28,7225,46.96666667
2,22,8,10,30,6780,47
2,25,0,10,10,8073,46.66666667
2,25,1,10,39,7790,47.15
2,25,2,10,41,2971,47.18333333
2,25,3,10,43,4473,47.21666667
2,25,4,10,47,3333,47.28333333
2,25,5,10,45,3874,47.25
2,25,6,10,49,4946,47.31666667
2,25,7,10,51,5842,47.35
2,25,8,10,53,4692,47.38333333
2,28,0,11,12,5968,47.7
2,28,1,11,0,7288,47.5
2,28,2,11,3,1829,47.55
2,28,3,11,5,3190,47.58333333
2,28,4,11,7,1667,47.61666667
2,28,5,11,9,4535,47.65
2,28,6,11,11,5488,47.68333333
2,28,7,11,13,1483,47.71666667
2,28,8,11,15,1761,47.75
2,13,0,11,25,1635,47.91666667
2,13,1,11,34,314,48.06666667
2,13,2,11,36,346,48.1
2,13,3,11,38,537,48.13333333
2,13,4,11,40,202,48.16666667
2,13,5,11,43,409,48.21666667
2,13,6,11,46,378,48.26666667
2,13,7,11,48,600,48.3
2,13,8,11,50,592,48.33333333
2,16,0,11,27,4308,47.95
2,16,1,11,57,3318,48.45
2,16,2,11,59,1885,48.48333333
2,16,3,12,1,2565,48.51666667
2,16,4,12,3,2177,48.55
2,16,5,12,5,2408,48.58333333
2,16,6,12,7,2736,48.61666667
2,16,7,12,9,1673,48.65
2,16,8,12,11,2846,48.68333333
2,19,0,11,29,6218,47.98333333
2,19,1,12,19,3034,48.81666667
2,19,2,12,21,1651,48.85
2,19,3,12,23,3910,48.88333333
2,19,4,12,25,2250,48.91666667
2,19,5,12,27,2943,48.95
2,19,6,12,29,3912,48.98333333
2,19,7,12,36,4578,49.1
2,19,8,12,39,3914,49.15
2,22,0,17,28,5833,53.96666667
2,22,1,17,41,4900,54.18333333
2,22,2,17,43,1090,54.21666667
2,22,3,17,45,1700,54.25
2,22,4,17,49,3077,54.31666667
2,22,5,17,51,2509,54.35
2,22,6,17,53,1706,54.38333333
2,22,7,17,55,2305,54.41666667
2,22,8,18,0,3585,54.5
2,25,0,17,37,11400,54.11666667
2,25,1,18,6,13087,54.6
2,25,2,18,9,4041,54.65
2,25,3,18,12,5273,54.7
2,25,4,18,14,2517,54.73333333
2,25,5,18,16,1297,54.76666667
2,25,6,18,18,3019,54.8
2,25,7,18,20,4989,54.83333333
2,25,8,18,22,4246,54.86666667
2,28,0,17,39,6359,54.15
2,28,1,18,27,10796,54.95
2,28,2,18,29,11617,54.98333333
2,28,3,18,31,9629,55.01666667
2,28,4,18,33,2642,55.05
2,28,5,18,35,2735,55.08333333
2,28,6,18,38,9319,55.13333333
2,28,7,18,40,2946,55.16666667
2,28,8,18,42,2273,55.2
3,22,0,9,2,6580,69.53333333
3,22,1,9,12,21862,69.7
3,22,2,9,14,16919,69.73333333
3,22,3,9,16,24728,69.76666667
3,22,4,9,18,7878,69.8
3,22,5,9,20,9506,69.83333333
3,22,6,9,22,6246,69.86666667
3,22,7,9,26,10677,69.93333333
3,22,8,9,28,5828,69.96666667
3,25,0,9,4,10184,69.56666667
3,25,1,9,35,23635,70.08333333
3,25,2,9,39,28851,70.15
3,25,3,9,44,66504,70.23333333
3,25,4,9,46,15181,70.26666667
3,25,5,9,48,36429,70.3
3,25,6,9,51,38810,70.35
3,25,7,9,53,26415,70.38333333
3,25,8,9,55,31758,70.41666667
3,28,0,9,6,5329,69.6
