DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,corrected_hour,corrected.hours.since.innoc
0,13,0,10,59,909,0.983333333,10,0.983333333
0,13,1,14,1,948,4.016666667,14,4.016666667
0,13,2,14,3,1123,4.05,14,4.05
0,13,3,14,5,1137,4.083333333,14,4.083333333
0,13,4,14,8,1274,4.133333333,14,4.133333333
0,13,5,14,10,1152,4.166666667,14,4.166666667
0,13,6,14,12,853,4.2,14,4.2
0,13,7,14,15,1079,4.25,14,4.25
0,13,8,14,17,1064,4.283333333,14,4.283333333
0,16,0,13,47,875,3.783333333,13,3.783333333
0,16,1,14,22,813,4.366666667,14,4.366666667
0,16,2,14,24,966,4.4,14,4.4
0,16,3,14,26,812,4.433333333,14,4.433333333
0,16,4,14,28,884,4.466666667,14,4.466666667
0,16,5,14,30,724,4.5,14,4.5
0,16,6,14,34,755,4.566666667,14,4.566666667
0,16,7,14,36,1281,4.6,14,4.6
0,16,8,14,38,1010,4.633333333,14,4.633333333
0,19,0,13,49,1632,3.816666667,13,3.816666667
0,19,1,15,36,825,5.6,15,5.6
0,19,2,15,38,653,5.633333333,15,5.633333333
0,19,3,15,40,630,5.666666667,15,5.666666667
0,19,4,15,45,770,5.75,15,5.75
0,19,5,15,48,898,5.8,15,5.8
0,19,6,15,51,812,5.85,15,5.85
0,19,7,15,53,891,5.883333333,15,5.883333333
0,19,8,15,55,875,5.916666667,15,5.916666667
0,22,0,13,51,931,3.85,13,3.85
0,22,1,15,59,612,5.983333333,15,5.983333333
0,22,2,16,2,1000,6.033333333,16,6.033333333
0,22,3,16,4,831,6.066666667,16,6.066666667
0,22,4,16,6,576,6.1,16,6.1
0,22,5,16,9,582,6.15,16,6.15
0,22,6,16,11,1054,6.183333333,16,6.183333333
0,22,7,16,13,911,6.216666667,16,6.216666667
0,22,8,16,16,693,6.266666667,16,6.266666667
0,25,0,13,54,1079,3.9,13,3.9
0,25,1,16,20,906,6.333333333,16,6.333333333
0,25,2,16,22,827,6.366666667,16,6.366666667
0,25,3,16,26,788,6.433333333,16,6.433333333
0,25,4,16,28,571,6.466666667,16,6.466666667
0,25,5,16,30,929,6.5,16,6.5
0,25,6,16,33,812,6.55,16,6.55
0,25,7,16,36,591,6.6,16,6.6
0,25,8,16,39,699,6.65,16,6.65
0,28,0,13,56,938,3.933333333,13,3.933333333
0,28,1,16,20,439,6.333333333,16,6.333333333
0,28,2,16,22,612,6.366666667,16,6.366666667
0,28,3,16,26,596,6.433333333,16,6.433333333
0,28,4,16,28,668,6.466666667,16,6.466666667
0,28,5,16,30,742,6.5,16,6.5
0,28,6,16,33,826,6.55,16,6.55
0,28,7,16,36,867,6.6,16,6.6
0,28,8,16,39,578,6.65,16,6.65
1,25,0,9,31,509,23.51666667,9,23.51666667
1,25,1,9,33,420,23.55,9,23.55
