sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
BLANK,NA,2017-06-27,0,0,,NA,NA,
3-03-1,2017-04-14,2017-06-27,0.03,0.03,3,03,1,
4-03-1,2017-04-14,2017-06-27,0.065,0.066,4,03,1,
3-10-1,2017-04-14,2017-06-27,0.053,0.053,3,10,1,
4-10-1,2017-04-14,2017-06-27,0.057,0.055,4,10,1,
3-17-1,2017-04-14,2017-06-27,0.052,0.055,3,17,1,
4-17-1,2017-04-14,2017-06-27,0.04,0.04,4,17,1,
3-24-1,2017-04-14,2017-06-27,0.065,0.064,3,24,1,too much liquid - likely acid added twice
4-24-1,2017-04-14,2017-06-27,0.052,0.057,4,24,1,
3-31-1,2017-04-14,2017-06-27,0.051,0.053,3,31,1,
4-31-1,2017-04-14,2017-06-27,0.038,0.035,4,31,1,
3-38-1,2017-04-14,2017-06-27,0.048,0.047,3,38,1,
4-38-1,2017-04-14,2017-06-27,0.077,0.079,4,38,1,
3-03-2,2017-04-14,2017-06-27,0.011,0.011,3,03,2,
4-03-2,2017-04-14,2017-06-27,0.043,0.042,4,03,2,
3-10-2,2017-04-14,2017-06-27,0.038,0.037,3,10,2,
4-10-2,2017-04-14,2017-06-27,0.033,0.034,4,10,2,
3-17-2,2017-04-14,2017-06-27,0.077,0.078,3,17,2,
4-17-2,2017-04-14,2017-06-27,0.074,0.073,4,17,2,
3-24-2,2017-04-14,2017-06-27,0.044,0.043,3,24,2,
4-24-2,2017-04-14,2017-06-27,0.037,0.04,4,24,2,
3-31-2,2017-04-14,2017-06-27,0.036,0.034,3,31,2,
4-31-2,2017-04-14,2017-06-27,0.067,0.05,4,31,2,
3-38-2,2017-04-14,2017-06-27,0.038,0.038,3,38,2,
4-38-2,2017-04-14,2017-06-27,0.037,0.034,4,38,2,
3-03-3,2017-04-14,2017-06-27,0.044,0.034,3,03,3,
4-03-3,2017-04-14,2017-06-27,0.028,0.029,4,03,3,
3-10-3,2017-04-14,2017-06-27,0.053,0.049,3,10,3,
4-10-3,2017-04-14,2017-06-27,0.044,0.044,4,10,3,
3-17-3,2017-04-14,2017-06-27,0.045,0.046,3,17,3,
4-17-3,2017-04-14,2017-06-27,0.041,0.041,4,17,3,
3-24-3,2017-04-14,2017-06-27,0.051,0.049,3,24,3,
4-24-3,2017-04-14,2017-06-27,0.014,0.014,4,24,3,don't see adequate cadmium
3-31-3,2017-04-14,2017-06-27,0.032,0.034,3,31,3,
4-31-3,2017-04-14,2017-06-27,0.042,0.04,4,31,3,
3-38-3,2017-04-14,2017-06-27,0.053,0.053,3,38,3,
4-38-3,2017-04-14,2017-06-27,0.046,0.044,4,38,3,
3-03-4,2017-04-14,2017-06-27,0.048,0.049,3,03,4,
4-03-4,2017-04-14,2017-06-27,0.042,0.038,4,03,4,
3-10-4,2017-04-14,2017-06-27,0.053,0.047,3,10,4,
4-10-4,2017-04-14,2017-06-27,0.05,0.044,4,10,4,
3-17-4,2017-04-14,2017-06-27,0.035,0.038,3,17,4,
4-17-4,2017-04-14,2017-06-27,0.045,0.045,4,17,4,
3-24-4,2017-04-14,2017-06-27,0.044,0.044,3,24,4,
4-24-4,2017-04-14,2017-06-27,0.022,0.026,4,24,4,
3-31-4,2017-04-14,2017-06-27,0.007,-0.02,3,31,4,
4-31-4,2017-04-14,2017-06-27,0.064,0.066,4,31,4,
3-38-4,2017-04-14,2017-06-27,0.074,0.073,3,38,4,
3-03-5,2017-04-14,2017-06-27,0.03,0.029,3,03,5,
4-03-5,2017-04-14,2017-06-27,0.05,0.05,4,03,5,
3-10-5,2017-04-14,2017-06-27,0.065,0.065,3,10,5,
4-10-5,2017-04-14,2017-06-27,0.058,0.054,4,10,5,
3-17-5,2017-04-14,2017-06-27,0.063,0.062,3,17,5,
4-17-5,2017-04-14,2017-06-27,0.053,0.054,4,17,5,
3-24-5,2017-04-14,2017-06-27,0.044,0.044,3,24,5,
4-24-5,2017-04-14,2017-06-27,0.043,0.04,4,24,5,
3-31-5,2017-04-14,2017-06-27,0.049,0.043,3,31,5,
4-31-5,2017-04-14,2017-06-27,0.042,0.044,4,31,5,
3-38-5,2017-04-14,2017-06-27,0.082,0.084,3,38,5,
4-38-5,2017-04-14,2017-06-27,0.035,0.04,4,38,5,
4-38-4,2017-04-14,2017-06-27,0.062,0.061,4,38,4,low vol- done w 0.5ml
