sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
Blank,-,,,,,,,
2003-03-01,2017-05-19,2017-07-07,0.039,0.039,3,3,1,
2004-03-01,2017-05-19,2017-07-07,0.023,0.023,4,3,1,
2003-10-01,2017-05-19,2017-07-07,0.024,0.025,3,10,1,
2004-10-01,2017-05-19,2017-07-07,0.033,0.032,4,10,1,
3-17-1,2017-05-19,2017-07-07,0.017,0.016,3,17,1,
4-17-1,2017-05-19,2017-07-07,0.031,0.032,4,17,1,
3-24-1,2017-05-19,2017-07-07,0.031,0.032,3,24,1,low vol
4-24-1,2017-05-19,2017-07-07,0.024,0.024,4,24,1,
3-31-1,2017-05-19,2017-07-07,0.024,0.023,3,31,1,
4-31-1,2017-05-19,2017-07-07,0.021,0.02,4,31,1,
3-38-1,2017-05-19,2017-07-07,0.02,0.021,3,38,1,
4-38-1,2017-05-19,2017-07-07,0.025,0.026,4,38,1,
2003-03-02,2017-05-19,2017-07-07,0.05,0.048,3,3,2,
2004-03-02,2017-05-19,2017-07-07,0.022,0.021,4,3,2,
2003-10-02,2017-05-19,2017-07-07,0.019,0.018,3,10,2,
2004-10-02,2017-05-19,2017-07-07,0.067,0.068,4,10,2,low vol
3-17-2,2017-05-19,2017-07-07,0.02,0.02,3,17,2,
4-17-2,2017-05-19,2017-07-07,0.015,0.015,4,17,2,
3-24-2,2017-05-19,2017-07-07,0.035,0.035,3,24,2,low vol
4-24-2,2017-05-19,2017-07-07,0.037,0.038,4,24,2,
3-31-2,2017-05-19,2017-07-07,0.016,0.017,3,31,2,low vol
4-31-2,2017-05-19,2017-07-07,0.027,0.025,4,31,2,
3-38-2,2017-05-19,2017-07-07,0.027,0.026,3,38,2,
4-38-2,2017-05-19,2017-07-07,0.058,0.06,4,38,2,
2003-03-03,2017-05-19,2017-07-07,0.048,0.049,3,3,3,
2004-03-03,2017-05-19,2017-07-07,0.023,0.021,4,3,3,
2003-10-03,2017-05-19,2017-07-07,0.023,0.024,3,10,3,
2004-10-03,2017-05-19,2017-07-07,0.033,0.034,4,10,3,
3-17-3,2017-05-19,2017-07-07,0.125,0.127,3,17,3,
4-17-3,2017-05-19,2017-07-07,0.021,0.021,4,17,3,
3-24-3,2017-05-19,2017-07-07,0.038,0.037,3,24,3,
4-24-3,2017-05-19,2017-07-07,0.021,0.021,4,24,3,
3-31-3,2017-05-19,2017-07-07,0.016,0.015,3,31,3,
4-31-3,2017-05-19,2017-07-07,0.02,0.02,4,31,3,
3-38-3,2017-05-19,2017-07-07,0.024,0.022,3,38,3,
4-38-3,2017-05-19,2017-07-07,0.06,0.061,4,38,3,
2003-03-04,2017-05-19,2017-07-07,0.046,0.048,3,3,4,
2004-03-04,2017-05-19,2017-07-07,0.019,0.018,4,3,4,
2003-10-04,2017-05-19,2017-07-07,0.026,0.024,3,10,4,
2004-10-04,2017-05-19,2017-07-07,0.018,0.021,4,10,4,
3-17-4,2017-05-19,2017-07-07,0.018,0.018,3,17,4,
4-17-4,2017-05-19,2017-07-07,0,0,4,17,4,
3-24-4,2017-05-19,2017-07-07,0.04,0.042,3,24,4,
4-24-4,2017-05-19,2017-07-07,0.016,0.015,4,24,4,
3-31-4,2017-05-19,2017-07-07,0.021,0.023,3,31,4,
4-31-4,2017-05-19,2017-07-07,0.022,0.021,4,31,4,
3-38-4,2017-05-19,2017-07-07,0.032,0.031,3,38,4,
4-38-4,2017-05-19,2017-07-07,0.039,0.039,4,38,4,
2003-03-05,2017-05-19,2017-07-07,0.041,0.044,3,3,5,
2004-03-05,2017-05-19,2017-07-07,0.015,0.015,4,3,5,
2003-10-05,2017-05-19,2017-07-07,0.016,0.017,3,10,5,
2004-10-05,2017-05-19,2017-07-07,0.018,0.017,4,10,5,
3-17-5,2017-05-19,2017-07-07,0.016,0.017,3,17,5,
4-17-5,2017-05-19,2017-07-07,0.018,0.018,4,17,5,low vol
3-24-5,2017-05-19,2017-07-07,NA,NA,3,24,5,jenn combined and discarded
4-24-5,2017-05-19,2017-07-07,NA,NA,4,24,5,jenn combined and discarded
3-31-5,2017-05-19,2017-07-07,0.024,0.024,3,31,5,
4-31-5,2017-05-19,2017-07-07,0.015,0.015,4,31,5,
3-38-5,2017-05-19,2017-07-07,0.019,0.019,3,38,5,
4-38-5,2017-05-19,2017-07-07,0.021,0.022,4,38,5,
