sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
Blank,NA,2017-07-12,0,-0.003,,,,
2-10-1,2017-06-06,2017-07-12,0.065,0.065,2,10,1,
2-10-2,2017-06-06,2017-07-12,0.033,0.035,2,10,2,
2-10-3,2017-06-06,2017-07-12,0.046,0.046,2,10,3,
2-10-5,2017-06-06,2017-07-12,0.041,0.042,2,10,5,
1-03-1,2017-06-06,2017-07-12,0.052,0.054,1,03,1,
1-03-2,2017-06-06,2017-07-12,0.038,0.036,1,03,2,
1-03-3,2017-06-06,2017-07-12,0.038,0.04,1,03,3,
1-03-5,2017-06-06,2017-07-12,0.025,0.027,1,03,5,
3-17-1,2017-06-02,2017-07-12,0.032,0.032,3,17,1,
3-17-2,2017-06-02,2017-07-12,0.033,0.032,3,17,2,
3-17-3,2017-06-02,2017-07-12,0.029,0.029,3,17,3,
3-17-4,2017-06-02,2017-07-12,0.03,0.032,3,17,4,
3-17-5,2017-06-02,2017-07-12,0.034,0.034,3,17,5,
4-03-1,2017-06-02,2017-07-12,0.051,0.048,4,03,1,
4-03-2,2017-06-02,2017-07-12,0.03,0.031,4,03,2,
4-03-4,2017-06-02,2017-07-12,0.073,0.064,4,03,4,
4-03-5,2017-06-02,2017-07-12,0.048,0.05,4,03,5,
4-03-1,2017-06-08,2017-07-12,0.103,0.103,4,03,1,
4-03-3,2017-06-08,2017-07-12,0.058,0.058,4,03,3,
4-03-4,2017-06-08,2017-07-12,0.111,0.104,4,03,4,
4-03-5,2017-06-08,2017-07-12,0.02,0.027,4,03,5,
1-03-1,2017-06-13,2017-07-12,0.036,0.034,1,03,1,
1-03-2,2017-06-13,2017-07-12,0.033,0.034,1,03,2,
1-03-3,2017-06-13,2017-07-12,0.062,0.064,1,03,3,
1-03-4,2017-06-13,2017-07-12,0.046,0.044,1,03,4,
1-03-5,2017-06-13,2017-07-12,0.05,0.047,1,03,5,
2-10-3,2017-05-30,2017-07-12,0.03,0.03,2,10,3,
1-03-1,2017-05-30,2017-07-12,0.064,0.06,1,03,1,
1-03-2,2017-05-30,2017-07-12,0.023,0.022,1,03,2,
1-03-3,2017-05-30,2017-07-12,0.023,0.022,1,03,3,
1-03-4,2017-05-30,2017-07-12,0.035,0.033,1,03,4,480ul
4-03-3,2017-05-30,2017-07-12,0.037,0.035,4,03,3,600ul
4-03-2,2017-05-30,2017-07-12,0.029,0.033,4,03,2,650ul
2-10-1,2017-05-30,2017-07-12,0.032,0.035,2,10,1,700ul
2-10-2,2017-05-30,2017-07-12,0.02,0.02,2,10,2,700ul
2-10-4,2017-06-08,2017-07-12,NA,NA,2,10,4,missing
2-10-5,2017-06-02,2017-07-12,0.023,0.022,2,10,5,700ul
1-03-4,2017-05-30,2017-07-12,0.036,0.036,1,03,4,500ul
1-03-5,2017-05-30,2017-07-12,0.047,0.045,1,03,5,700ul
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
