sample,date sampled,date measured,time cadmium in,time mix done,aborbance time,absorbance 1,absorbance 2,nitrate,rep
blank,,,,,,0,0.002,,
st.0.,2017-07-11,2017-07-11,,,,0.001,0.002,0,A
st.1.,2017-07-11,2017-07-11,,,,0.013,0.014,1,A
st.2.,2017-07-11,2017-07-11,,,,0.036,0.036,2,A
st.2.5,2017-07-11,2017-07-11,,,,0.044,0.045,2.5,A
st.3.,2017-07-11,2017-07-11,,,,0.053,0.056,3,A
st.3.5,2017-07-11,2017-07-11,,,,0.057,0.058,3.5,A
st.4,2017-07-11,2017-07-11,,,,0.072,0.074,4,A
st.5,2017-07-11,2017-07-11,,,,0.077,0.079,5,A
st.6,2017-07-11,2017-07-11,,,,0.06,0.061,6,A
st.7,2017-07-11,2017-07-11,,,,0.097,0.098,7,A
st.0.,2017-07-11,2017-07-11,,,,0.004,0.006,0,B
st.1.,2017-07-11,2017-07-11,,,,0.02,0.021,1,B
st.2.,2017-07-11,2017-07-11,,,,0.037,0.036,2,B
st.2.5,2017-07-11,2017-07-11,,,,0.047,0.047,2.5,B
st.3.,2017-07-11,2017-07-11,,,,0.031,0.031,3,B
st.3.5,2017-07-11,2017-07-11,,,,0.06,0.061,3.5,B
st.4,2017-07-11,2017-07-11,,,,0.065,0.067,4,B
st.5,2017-07-11,2017-07-11,,,,0.083,0.08,5,B
st.6,2017-07-11,2017-07-11,,,,0.102,0.101,6,B
st.7,2017-07-11,2017-07-11,,,,0.113,0.114,7,B
st.0.,2017-07-11,2017-07-11,,,,0.005,0.005,0,C
st.1.,2017-07-11,2017-07-11,,,,0.011,0.013,1,C
st.2.,2017-07-11,2017-07-11,,,,0.024,0.024,2,C
st.2.5,2017-07-11,2017-07-11,,,,0.019,0.02,2.5,C
st.3.,2017-07-11,2017-07-11,,,,0.054,0.054,3,C
st.3.5,2017-07-11,2017-07-11,,,,0.052,0.052,3.5,C
st.4,2017-07-11,2017-07-11,,,,0.066,0.066,4,C
st.5,2017-07-11,2017-07-11,,,,0.069,0.07,5,C
st.6,2017-07-11,2017-07-11,,,,0.085,0.085,6,C
st.7,2017-07-11,2017-07-11,,,,0.106,0.107,7,C
