sample,date sampled,date measured,absorbance 1,absorbance 2,,nitrate,rep
Blank,,2017-07-14,0,-0.001,,,
st-0-A,,2017-07-14,0.003,0.006,st,0,A
st-1-A,,2017-07-14,0.005,0.005,st,1,A
st-2-A,,2017-07-14,0.036,0.037,st,2,A
st-2.5-A,,2017-07-14,0.036,0.038,st,2.5,A
st-3-A,,2017-07-14,0.023,0.022,st,3,A
st-3.5-A,,2017-07-14,0.05,0.05,st,3.5,A
st-4-A,,2017-07-14,0.049,0.05,st,4,A
st-5-A,,2017-07-14,0.046,0.049,st,5,A
st-6-A,,2017-07-14,0.064,0.064,st,6,A
st-7-A,,2017-07-14,0.111,0.112,st,7,A
st-0-A,,2017-07-14,0,0,st,0,A
st-1-A,,2017-07-14,0.016,0.017,st,1,A
st-2-A,,2017-07-14,0.031,0.032,st,2,A
st-2.5-A,,2017-07-14,0.034,0.035,st,2.5,A
st-3-A,,2017-07-14,0.042,0.044,st,3,A
st-3.5-A,,2017-07-14,0.045,0.043,st,3.5,A
st-4-A,,2017-07-14,0.051,0.049,st,4,A
st-5-A,,2017-07-14,0.055,0.056,st,5,A
st-6-A,,2017-07-14,0.084,0.081,st,6,A
st-7-A,,2017-07-14,0.088,0.089,st,7,A
