sample,date sampled,time acid in,time cadmium in,time mix done,aborbance time,absorbance 1,absorbance 2,species,temp,rep,sample title,notes
BLANK,NA,12:40,12:47,12:48,12:59,-0,-0,,NA,NA,NA,
3-03-1,14-04-17,,,,1:01,0.030,0.030,3,03,1,3-03-1,
4-03-1,14-04-17,,,,1:01,0.065,0.066,4,03,1,4-03-1,
3-10-1,14-04-17,,,,1:02,0.053,0.053,3,10,1,3-10-1,
4-10-1,14-04-17,,,,1:02,0.057,0.055,4,10,1,4-10-1,
3-17-1,14-04-17,,,,1:03,0.052,0.055,3,17,1,3-17-1,
4-17-1,14-04-17,,,,1:04,0.040,0.040,4,17,1,4-17-1,
3-24-1,14-04-17,,,,1:04,0.065,0.064,3,24,1,3-24-1,too much liquid - likely acid added twice
4-24-1,14-04-17,,,,1:05,0.052,0.057,4,24,1,4-24-1,
3-31-1,14-04-17,,,,1:05,0.051,0.053,3,31,1,3-31-1,
4-31-1,14-04-17,,,12:55,1:06,0.038,0.035,4,31,1,4-31-1,
3-38-1,14-04-17,1:12,1:19,1:20,1:30,0.048,0.047,3,38,1,3-38-1,
4-38-1,14-04-17,,,,1:31,0.077,0.079,4,38,1,4-38-1,
3-03-2,14-04-17,,,,1:33,0.011,0.011,3,03,2,3-03-2,
4-03-2,14-04-17,,,,1:33,0.043,0.042,4,03,2,4-03-2,
3-10-2,14-04-17,,,,1:34,0.038,0.037,3,10,2,3-10-2,
4-10-2,14-04-17,,,,1:34,0.033,0.034,4,10,2,4-10-2,
3-17-2,14-04-17,,,,1:35,0.077,0.078,3,17,2,3-17-2,
4-17-2,14-04-17,,,,1:36,0.074,0.073,4,17,2,4-17-2,
3-24-2,14-04-17,,,,1:36,0.044,0.043,3,24,2,3-24-2,
4-24-2,14-04-17,,,1:25,1:36,0.037,0.040,4,24,2,4-24-2,
3-31-2,14-04-17,1:40,1:45,1:46,1:56,0.036,0.034,3,31,2,3-31-2,
4-31-2,14-04-17,,,,1:57,0.067,0.050,4,31,2,4-31-2,
3-38-2,14-04-17,,,,1:57,0.038,0.038,3,38,2,3-38-2,
4-38-2,14-04-17,,,,1:58,0.037,0.034,4,38,2,4-38-2,
3-03-3,14-04-17,,,,1:58,0.044,0.034,3,03,3,3-03-3,
4-03-3,14-04-17,,,,1:59,0.028,0.029,4,03,3,4-03-3,
3-10-3,14-04-17,,,,2:00,0.053,0.049,3,10,3,3-10-3,
4-10-3,14-04-17,,,,2:00,0.044,0.044,4,10,3,4-10-3,
3-17-3,14-04-17,,,,2:00,0.045,0.046,3,17,3,3-17-3,
4-17-3,14-04-17,,,1:51,2:01,0.041,0.041,4,17,3,4-17-3,
3-24-3,14-04-17,2:04,2:10,2:11,2:21,0.051,0.049,3,24,3,3-24-3,
4-24-3,14-04-17,,,,2:23,0.014,0.014,4,24,3,4-24-3,don't see adequate cadmium
3-31-3,14-04-17,,,,2:24,0.032,0.034,3,31,3,3-31-3,
4-31-3,14-04-17,,,,2:24,0.042,0.040,4,31,3,4-31-3,
3-38-3,14-04-17,,,,2:25,0.053,0.053,3,38,3,3-38-3,
4-38-3,14-04-17,,,,2:25,0.046,0.044,4,38,3,4-38-3,
3-03-4,14-04-17,,,,2:25,0.048,0.049,3,03,4,3-03-4,
4-03-4,14-04-17,,,,2:26,0.042,0.038,4,03,4,4-03-4,
3-10-4,14-04-17,,,,2:27,0.053,0.047,3,10,4,3-10-4,
4-10-4,14-04-17,,,2:16,2:27,0.050,0.044,4,10,4,4-10-4,
3-17-4,14-04-17,,,2:38,2:48,0.035,0.038,3,17,4,3-17-4,
4-17-4,14-04-17,,,,2:49,0.045,0.045,4,17,4,4-17-4,
3-24-4,14-04-17,,,,2:50,0.044,0.044,3,24,4,3-24-4,
4-24-4,14-04-17,,,,2:53,0.022,0.026,4,24,4,4-24-4,
3-31-4,14-04-17,,,,2:53,0.007,-0.02,3,31,4,3-31-4,
4-31-4,14-04-17,,,,2:54,0.064,0.066,4,31,4,4-31-4,
3-38-4,14-04-17,,,,2:54,0.074,0.073,3,38,4,3-38-4,
3-03-5,14-04-17,,,,2:55,0.030,0.029,3,03,5,3-03-5,
4-03-5,13-04-17,,,2:43,2:57,0.050,0.050,4,03,5,4-03-5,
3-10-5,13-04-17,2:58,3:04,3:05,3:15,0.065,0.065,3,10,5,3-10-5,
4-10-5,13-04-17,,,,3:16,0.058,0.054,4,10,5,4-10-5,
3-17-5,13-04-17,,,,3:16,0.063,0.062,3,17,5,3-17-5,
4-17-5,13-04-17,,,,3:17,0.053,0.054,4,17,5,4-17-5,
3-24-5,13-04-17,,,,3:17,0.044,0.044,3,24,5,3-24-5,
4-24-5,13-04-17,,,,3:18,0.043,0.040,4,24,5,4-24-5,
3-31-5,13-04-17,,,,3:18,0.049,0.043,3,31,5,3-31-5,
4-31-5,13-04-17,,,,3:19,0.042,0.044,4,31,5,4-31-5,
3-38-5,13-04-17,,,,3:20,0.082,0.084,3,38,5,3-38-5,
4-38-5,13-04-17,,,,3:20,0.035,0.040,4,38,5,4-38-5,
4-38-4,14-04-17,,,3:12,3:21,0.062,0.061,4,38,4,4-38-4,"low vol, done w 0.5ml"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
st-0-A,27-06-17,,,,,,,st,0,A,st-0-A,
st-1-A,27-06-17,,,,,,,st,1,A,st-1-A,
st-2-A,27-06-17,,,,,,,st,2,A,st-2-A,
st-3-A,27-06-17,,,,,,,st,3,A,st-3-A,
st-4-A,27-06-17,,,,,,,st,4,A,st-4-A,
st-5-A,27-06-17,,,,,,,st,5,A,st-5-A,
st-7-A,27-06-17,,,,,,,st,7,A,st-7-A,
st-10-A,27-06-17,,,,,,,st,10,A,st-10-A,
st-20-A,27-06-17,,,,,,,st,20,A,st-20-A,
st-0-B,27-06-17,,,,,,,st,0,B,st-0-B,
st-1-B,27-06-17,,,,,,,st,1,B,st-1-B,
st-2-B,27-06-17,,,,,,,st,2,B,st-2-B,
st-3-B,27-06-17,,,,,,,st,3,B,st-3-B,
st-4-B,27-06-17,,,,,,,st,4,B,st-4-B,
st-5-B,27-06-17,,,,,,,st,5,B,st-5-B,
st-7-B,27-06-17,,,,,,,st,7,B,st-7-B,
st-10-B,27-06-17,,,,,,,st,10,B,st-10-B,
st-20-B,27-06-17,,,,,,,st,20,B,st-20-B,
st-0-C,27-06-17,,,,,,,st,0,C,st-0-C,
st-1-C,27-06-17,,,,,,,st,1,C,st-1-C,
st-2-C,27-06-17,,,,,,,st,2,C,st-2-C,
st-3-C,27-06-17,,,,,,,st,3,C,st-3-C,
st-4-C,27-06-17,,,,,,,st,4,C,st-4-C,
st-5-C,27-06-17,,,,,,,st,5,C,st-5-C,
st-7-C,27-06-17,,,,,,,st,7,C,st-7-C,
st-10-C,27-06-17,,,,,,,st,10,C,st-10-C,
st-20-C,27-06-17,,,,,,,st,20,C,st-20-C,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
